""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2020"
"Amounts in $ per capita"
"Protection"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","184.6","g","419.0","g","603.6","g","48,685.8","g","1.5","g","4.9","g"
"Alaska","992.9","g","707.9","g","1,700.8","g","77,614.7","g","1.7","g","0.7","g"
"Arizona","198.2","g","559.7","g","757.9","g","51,588.1","g","2.0","g","7.4","g"
"Arkansas","177.2","g","383.2","g","560.3","g","45,515.1","g","1.2","g","3.0","g"
"California","363.4","g","1,005.7","g","1,369.1","g","82,460.8","g","1.7","g","39.6","g"
"Colorado","243.1","g","624.9","g","868.0","g","69,777.0","g","2.3","g","5.8","g"
"Connecticut","259.7","g","499.3","g","759.0","g","82,941.3","g","1.1","g","3.6","g"
"Delaware","566.6","g","274.3","g","840.9","g","78,923.1","g","0.7","g","1.0","g"
"District of Columbia","0.0","g","2,066.0","g","2,066.0","g","213,214.2","g","1.1","g","0.7","g"
"Florida","186.4","g","768.5","g","954.9","g","52,524.4","g","1.8","g","21.7","g"
"Georgia","177.3","g","453.7","g","631.0","g","59,556.6","g","1.3","g","10.7","g"
"Hawaii","243.5","g","516.0","g","759.5","g","71,291.2","g","0.8","g","1.4","g"
"Idaho","234.5","g","443.7","g","678.1","g","46,209.1","g","1.8","g","1.8","g"
"Illinois","229.7","g","739.2","g","968.9","g","73,494.5","g","1.1","g","12.6","g"
"Indiana","166.6","g","425.1","g","591.7","g","57,315.4","g","0.7","g","6.8","g"
"Iowa","141.2","g","416.7","g","557.9","g","63,342.5","g","0.7","g","3.2","g"
"Kansas","163.8","g","495.8","g","659.6","g","61,123.3","g","0.7","g","2.9","g"
"Kentucky","242.2","g","317.2","g","559.4","g","49,462.5","g","0.8","g","4.5","g"
"Louisiana","189.4","g","492.1","g","681.5","g","58,446.9","g","0.9","g","4.6","g"
"Maine","216.7","g","390.8","g","607.5","g","51,861.2","g","1.3","g","1.3","g"
"Maryland","360.4","g","696.2","g","1,056.6","g","73,193.9","g","1.1","g","6.1","g"
"Massachusetts","309.7","g","533.2","g","842.9","g","89,675.0","g","1.6","g","6.9","g"
"Michigan","284.8","g","445.3","g","730.2","g","55,753.2","g","0.6","g","10.0","g"
"Minnesota","198.9","g","638.5","g","837.5","g","69,242.5","g","1.0","g","5.7","g"
"Mississippi","180.0","g","406.4","g","586.4","g","41,275.5","g","1.0","g","3.0","g"
"Missouri","184.0","g","466.6","g","650.6","g","55,943.8","g","1.4","g","6.2","g"
"Montana","272.1","g","463.3","g","735.4","g","50,080.3","g","1.4","g","1.1","g"
"Nebraska","283.3","g","523.8","g","807.2","g","67,128.1","g","0.5","g","1.9","g"
"Nevada","190.2","g","825.9","g","1,016.1","g","59,015.5","g","1.9","g","3.1","g"
"New Hampshire","173.4","g","549.0","g","722.4","g","67,530.3","g","1.8","g","1.4","g"
"New Jersey","252.9","g","507.6","g","760.5","g","75,092.6","g","1.0","g","8.9","g"
"New Mexico","345.2","g","584.3","g","929.6","g","51,187.6","g","2.4","g","2.1","g"
"New York","234.6","g","942.0","g","1,176.6","g","92,464.8","g","1.2","g","19.4","g"
"North Carolina","222.2","g","494.4","g","716.6","g","57,542.4","g","1.5","g","10.6","g"
"North Dakota","207.9","g","463.2","g","671.0","g","76,125.5","g","1.5","g","0.8","g"
"Ohio","208.7","g","574.7","g","783.4","g","61,592.7","g","1.2","g","11.7","g"
"Oklahoma","232.7","g","436.8","g","669.5","g","53,027.1","g","1.6","g","4.0","g"
"Oregon","327.4","g","689.9","g","1,017.3","g","61,597.6","g","1.8","g","4.3","g"
"Pennsylvania","275.3","g","460.9","g","736.2","g","65,770.7","g","1.5","g","12.8","g"
"Rhode Island","327.2","g","775.0","g","1,102.3","g","62,382.6","g","1.7","g","1.1","g"
"South Carolina","163.1","g","417.0","g","580.1","g","49,300.6","g","2.0","g","5.2","g"
"South Dakota","240.8","g","343.2","g","584.0","g","61,461.2","g","0.6","g","0.9","g"
"Tennessee","161.2","g","504.7","g","665.9","g","57,306.6","g","1.5","g","6.9","g"
"Texas","184.4","g","489.3","g","673.7","g","66,820.1","g","2.8","g","29.4","g"
"All states combined","244.9","g","620.4","g","865.3","g","67,183.0","b","1.5","b","330.6","e"
"Utah","195.3","g","415.6","g","610.9","g","60,546.6","g","2.4","g","3.3","g"
"Vermont","508.6","g","344.7","g","853.3","g","57,979.2","g","1.6","g","0.6","g"
"Virginia","264.9","g","597.5","g","862.4","g","66,988.0","g","1.3","g","8.6","g"
"Washington","253.6","g","592.0","g","845.6","g","81,519.6","g","2.4","g","7.7","g"
"West Virginia","252.9","g","309.7","g","562.6","g","44,729.5","g","0.7","g","1.8","g"
"Wisconsin","214.3","g","564.2","g","778.4","g","61,373.0","g","1.0","g","5.8","g"
"Wyoming","383.7","g","580.9","g","964.6","g","69,763.2","g","2.1","g","0.6","g"

"Legend:"
"g - 'guesstimated' projection by usgovernmentspending.com"
"b - spending in US budget"
"e - out-year estimate in US budget"
