""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2014"
"Amounts in $ per capita"
"Education"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,411.3","a","1,573.6","a","2,984.9","a","40,111.3","a","-0.7","a","4.8","e"
"Alaska","2,161.1","a","2,762.2","a","4,923.4","a","75,410.4","a","-2.7","a","0.7","e"
"Arizona","861.8","a","1,403.5","a","2,265.4","a","42,260.4","a","1.3","a","6.7","e"
"Arkansas","1,078.6","a","1,680.2","a","2,758.8","a","39,542.2","a","1.0","a","3.0","e"
"California","814.4","a","2,011.8","a","2,826.2","a","62,055.6","a","4.1","a","38.6","e"
"Colorado","1,051.7","a","1,720.6","a","2,772.3","a","57,301.9","a","4.7","a","5.4","e"
"Connecticut","1,024.5","a","2,515.7","a","3,540.2","a","69,234.6","a","-1.4","a","3.6","e"
"Delaware","1,765.5","a","2,081.2","a","3,846.8","a","71,734.0","a","7.3","a","0.9","e"
"District of Columbia","0.0","a","3,995.8","a","3,995.8","a","180,939.1","a","2.0","a","0.7","e"
"Florida","481.5","a","1,479.9","a","1,961.4","a","42,300.1","a","2.7","a","19.8","e"
"Georgia","856.1","a","1,746.3","a","2,602.5","a","48,256.9","a","3.3","a","10.1","e"
"Hawaii","2,415.7","a","0.0","a","2,415.7","a","55,038.6","a","0.3","a","1.4","e"
"Idaho","672.4","a","1,312.8","a","1,985.2","a","38,943.9","a","2.6","a","1.6","e"
"Illinois","646.3","a","2,282.9","a","2,929.2","a","59,400.7","a","1.4","a","12.9","e"
"Indiana","1,038.8","a","1,522.1","a","2,560.8","a","49,279.9","a","3.2","a","6.6","e"
"Iowa","1,070.7","a","2,330.7","a","3,401.4","a","55,175.8","a","5.4","a","3.1","e"
"Kansas","885.0","a","2,179.1","a","3,064.1","a","51,104.0","a","2.1","a","2.9","e"
"Kentucky","1,204.9","a","1,411.3","a","2,616.2","a","42,253.8","a","0.3","a","4.4","e"
"Louisiana","847.7","a","1,700.2","a","2,547.9","a","51,395.2","a","3.1","a","4.6","e"
"Maine","750.1","a","1,739.3","a","2,489.5","a","41,935.3","a","1.7","a","1.3","e"
"Maryland","933.2","a","2,361.0","a","3,294.2","a","59,095.3","a","1.1","a","6.0","e"
"Massachusetts","937.4","a","2,270.0","a","3,207.4","a","69,984.8","a","2.0","a","6.8","e"
"Michigan","1,067.6","a","1,844.1","a","2,911.6","a","45,230.1","a","1.7","a","9.9","e"
"Minnesota","1,051.6","a","2,011.2","a","3,062.8","a","58,663.4","a","2.9","a","5.5","e"
"Mississippi","837.2","a","1,724.6","a","2,561.8","a","34,826.0","a","0.5","a","3.0","e"
"Missouri","659.3","a","1,789.8","a","2,449.0","a","47,011.7","a","0.5","a","6.1","e"
"Montana","876.0","a","1,756.3","a","2,632.3","a","43,543.4","a","1.7","a","1.0","e"
"Nebraska","1,008.4","a","2,313.5","a","3,321.9","a","59,150.1","a","2.0","a","1.9","e"
"Nevada","636.7","a","1,399.3","a","2,036.0","a","47,966.9","a","1.3","a","2.8","e"
"New Hampshire","786.9","a","2,106.3","a","2,893.1","a","54,254.8","a","1.1","a","1.3","e"
"New Jersey","1,094.8","a","2,809.1","a","3,903.9","a","61,671.2","a","0.5","a","8.9","e"
"New Mexico","1,167.5","a","1,862.5","a","3,029.9","a","44,258.2","a","3.2","a","2.1","e"
"New York","622.4","a","3,391.5","a","4,013.8","a","72,642.6","a","2.3","a","19.7","e"
"North Carolina","940.8","a","1,515.5","a","2,456.3","a","47,921.1","a","2.2","a","9.9","e"
"North Dakota","1,528.8","a","2,083.6","a","3,612.4","a","79,536.1","a","7.6","a","0.7","e"
"Ohio","906.6","a","1,945.1","a","2,851.7","a","51,139.4","a","3.8","a","11.6","e"
"Oklahoma","1,063.1","a","1,559.9","a","2,623.0","a","50,287.1","a","5.7","a","3.9","e"
"Oregon","1,134.4","a","1,869.8","a","3,004.3","a","47,658.0","a","3.4","a","4.0","e"
"Pennsylvania","844.3","a","2,147.8","a","2,992.0","a","54,048.5","a","2.3","a","12.8","e"
"Rhode Island","896.3","a","2,150.1","a","3,046.4","a","51,543.9","a","0.1","a","1.1","e"
"South Carolina","1,081.2","a","1,668.0","a","2,749.2","a","39,791.3","a","2.6","a","4.8","e"
"South Dakota","858.5","a","1,672.1","a","2,530.5","a","54,227.9","a","1.3","a","0.8","e"
"Tennessee","734.2","a","1,418.7","a","2,152.9","a","46,445.3","a","1.7","a","6.5","e"
"Texas","920.5","a","1,940.2","a","2,860.7","a","58,329.7","a","3.5","a","27.0","e"
"All states combined","894.7","a","1,986.6","a","2,881.3","a","55,065.2","a","2.5","a","318.3","e"
"Utah","1,343.1","a","1,485.5","a","2,828.6","a","48,098.7","a","3.2","a","2.9","e"
"Vermont","1,612.9","a","2,516.2","a","4,129.1","a","47,505.8","a","0.1","a","0.6","e"
"Virginia","994.9","a","1,964.8","a","2,959.7","a","55,766.9","a","-0.2","a","8.3","e"
"Washington","1,087.7","a","1,820.4","a","2,908.1","a","62,682.1","a","3.6","a","7.1","e"
"West Virginia","1,213.4","a","1,740.7","a","2,954.1","a","38,886.0","a","-0.4","a","1.8","e"
"Wisconsin","947.6","a","2,151.8","a","3,099.5","a","51,096.9","a","2.1","a","5.8","e"
"Wyoming","1,210.4","a","3,567.0","a","4,777.4","a","67,697.9","a","0.6","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
