""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2014"
"Amounts in $ per capita"
"Health Care"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,626.5","a","825.2","a","2,451.7","a","40,111.3","a","-0.7","a","4.8","e"
"Alaska","2,485.0","a","539.5","a","3,024.5","a","75,410.4","a","-2.7","a","0.7","e"
"Arizona","1,518.6","a","172.3","a","1,690.9","a","42,260.4","a","1.3","a","6.7","e"
"Arkansas","2,042.7","a","80.7","a","2,123.4","a","39,542.2","a","1.0","a","3.0","e"
"California","1,654.6","a","790.1","a","2,444.7","a","62,055.6","a","4.1","a","38.6","e"
"Colorado","1,338.3","a","437.5","a","1,775.9","a","57,301.9","a","4.7","a","5.4","e"
"Connecticut","2,131.0","a","38.3","a","2,169.4","a","69,234.6","a","-1.4","a","3.6","e"
"Delaware","2,435.1","a","40.4","a","2,475.5","a","71,734.0","a","7.3","a","0.9","e"
"District of Columbia","0.0","a","4,908.0","a","4,908.0","a","180,939.1","a","2.0","a","0.7","e"
"Florida","1,363.7","a","424.3","a","1,788.0","a","42,300.1","a","2.7","a","19.8","e"
"Georgia","1,182.2","a","488.3","a","1,670.5","a","48,256.9","a","3.3","a","10.1","e"
"Hawaii","2,421.8","a","24.3","a","2,446.1","a","55,038.6","a","0.3","a","1.4","e"
"Idaho","1,369.2","a","405.6","a","1,774.7","a","38,943.9","a","2.6","a","1.6","e"
"Illinois","1,419.3","a","194.5","a","1,613.8","a","59,400.7","a","1.4","a","12.9","e"
"Indiana","1,547.9","a","829.5","a","2,377.4","a","49,279.9","a","3.2","a","6.6","e"
"Iowa","1,955.5","a","653.8","a","2,609.2","a","55,175.8","a","5.4","a","3.1","e"
"Kansas","1,693.8","a","387.5","a","2,081.2","a","51,104.0","a","2.1","a","2.9","e"
"Kentucky","2,075.7","a","190.1","a","2,265.8","a","42,253.8","a","0.3","a","4.4","e"
"Louisiana","2,025.3","a","565.6","a","2,590.9","a","51,395.2","a","3.1","a","4.6","e"
"Maine","1,977.3","a","95.9","a","2,073.2","a","41,935.3","a","1.7","a","1.3","e"
"Maryland","1,709.1","a","86.6","a","1,795.7","a","59,095.3","a","1.1","a","6.0","e"
"Massachusetts","2,659.5","a","134.4","a","2,793.9","a","69,984.8","a","2.0","a","6.8","e"
"Michigan","1,499.2","a","457.6","a","1,956.8","a","45,230.1","a","1.7","a","9.9","e"
"Minnesota","2,004.3","a","474.5","a","2,478.8","a","58,663.4","a","2.9","a","5.5","e"
"Mississippi","2,142.3","a","823.8","a","2,966.1","a","34,826.0","a","0.5","a","3.0","e"
"Missouri","1,851.1","a","304.6","a","2,155.6","a","47,011.7","a","0.5","a","6.1","e"
"Montana","1,548.6","a","222.0","a","1,770.6","a","43,543.4","a","1.7","a","1.0","e"
"Nebraska","1,202.9","a","429.4","a","1,632.3","a","59,150.1","a","2.0","a","1.9","e"
"Nevada","775.5","a","296.5","a","1,072.1","a","47,966.9","a","1.3","a","2.8","e"
"New Hampshire","816.4","a","20.3","a","836.7","a","54,254.8","a","1.1","a","1.3","e"
"New Jersey","1,627.8","a","89.9","a","1,717.7","a","61,671.2","a","0.5","a","8.9","e"
"New Mexico","2,576.5","a","164.5","a","2,741.0","a","44,258.2","a","3.2","a","2.1","e"
"New York","2,620.1","a","691.7","a","3,311.8","a","72,642.6","a","2.3","a","19.7","e"
"North Carolina","1,447.9","a","1,034.6","a","2,482.5","a","47,921.1","a","2.2","a","9.9","e"
"North Dakota","1,426.4","a","70.3","a","1,496.7","a","79,536.1","a","7.6","a","0.7","e"
"Ohio","1,853.6","a","335.7","a","2,189.3","a","51,139.4","a","3.8","a","11.6","e"
"Oklahoma","1,717.9","a","322.9","a","2,040.8","a","50,287.1","a","5.7","a","3.9","e"
"Oregon","1,895.5","a","298.0","a","2,193.4","a","47,658.0","a","3.4","a","4.0","e"
"Pennsylvania","1,975.3","a","300.4","a","2,275.7","a","54,048.5","a","2.3","a","12.8","e"
"Rhode Island","2,332.0","a","16.2","a","2,348.2","a","51,543.9","a","0.1","a","1.1","e"
"South Carolina","1,735.4","a","926.7","a","2,662.1","a","39,791.3","a","2.6","a","4.8","e"
"South Dakota","1,055.7","a","128.4","a","1,184.1","a","54,227.9","a","1.3","a","0.8","e"
"Tennessee","1,466.1","a","485.6","a","1,951.7","a","46,445.3","a","1.7","a","6.5","e"
"Texas","1,379.9","a","453.6","a","1,833.5","a","58,329.7","a","3.5","a","27.0","e"
"All states combined","1,706.0","a","468.6","a","2,174.6","a","55,065.2","a","2.5","a","318.3","e"
"Utah","1,408.4","a","83.1","a","1,491.4","a","48,098.7","a","3.2","a","2.9","e"
"Vermont","2,323.5","a","14.2","a","2,337.7","a","47,505.8","a","0.1","a","0.6","e"
"Virginia","1,555.1","a","194.4","a","1,749.5","a","55,766.9","a","-0.2","a","8.3","e"
"Washington","1,725.8","a","530.4","a","2,256.2","a","62,682.1","a","3.6","a","7.1","e"
"West Virginia","1,994.9","a","183.2","a","2,178.2","a","38,886.0","a","-0.4","a","1.8","e"
"Wisconsin","1,828.7","a","228.7","a","2,057.4","a","51,096.9","a","2.1","a","5.8","e"
"Wyoming","1,639.9","a","1,845.0","a","3,484.8","a","67,697.9","a","0.6","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
