""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2017"
"Amounts in $ per capita"
"Education"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,275.6","a","1,629.9","a","2,905.5","a","43,156.1","a","1.2","a","4.9","e"
"Alaska","1,889.8","a","2,594.7","a","4,484.5","a","70,032.6","a","0.0","a","0.7","e"
"Arizona","803.4","a","1,367.3","a","2,170.7","a","46,492.8","a","3.5","a","7.0","e"
"Arkansas","1,059.5","a","1,743.7","a","2,803.2","a","41,109.3","a","0.7","a","3.0","e"
"California","913.9","a","2,460.5","a","3,374.4","a","71,626.5","a","4.4","a","39.4","e"
"Colorado","1,283.2","a","1,875.5","a","3,158.7","a","62,368.4","a","4.0","a","5.6","e"
"Connecticut","1,156.9","a","2,662.4","a","3,819.2","a","75,087.5","a","0.4","a","3.6","e"
"Delaware","2,028.4","a","2,194.2","a","4,222.6","a","73,968.5","a","-0.6","a","1.0","e"
"District of Columbia","0.0","a","4,317.0","a","4,317.0","a","192,893.7","a","1.2","a","0.7","e"
"Florida","539.6","a","1,528.8","a","2,068.4","a","47,017.9","a","3.4","a","21.0","e"
"Georgia","788.5","a","1,925.7","a","2,714.1","a","54,414.8","a","3.7","a","10.4","e"
"Hawaii","2,419.4","a","0.0","a","2,419.4","a","62,784.0","a","2.3","a","1.4","e"
"Idaho","712.7","a","1,399.7","a","2,112.3","a","42,337.1","a","3.5","a","1.7","e"
"Illinois","664.6","a","2,359.1","a","3,023.6","a","64,702.3","a","0.9","a","12.8","e"
"Indiana","1,142.8","a","1,587.2","a","2,730.0","a","52,733.8","a","1.9","a","6.7","e"
"Iowa","1,091.0","a","2,476.3","a","3,567.4","a","57,884.2","a","-0.3","a","3.1","e"
"Kansas","1,045.1","a","2,373.3","a","3,418.4","a","55,426.4","a","1.0","a","2.9","e"
"Kentucky","1,405.8","a","1,529.6","a","2,935.4","a","45,081.5","a","1.1","a","4.5","e"
"Louisiana","915.8","a","1,769.2","a","2,685.0","a","51,215.3","a","1.4","a","4.7","e"
"Maine","757.8","a","1,933.4","a","2,691.2","a","46,485.7","a","2.2","a","1.3","e"
"Maryland","953.6","a","2,531.8","a","3,485.5","a","65,449.5","a","0.9","a","6.0","e"
"Massachusetts","1,042.4","a","2,379.5","a","3,421.9","a","78,834.2","a","2.5","a","6.9","e"
"Michigan","1,174.0","a","1,948.4","a","3,122.4","a","50,692.4","a","1.5","a","10.0","e"
"Minnesota","1,206.0","a","2,385.5","a","3,591.5","a","63,133.8","a","1.9","a","5.6","e"
"Mississippi","939.5","a","1,818.3","a","2,757.8","a","36,882.3","a","0.9","a","3.0","e"
"Missouri","688.8","a","1,867.1","a","2,556.0","a","49,936.5","a","1.0","a","6.1","e"
"Montana","977.1","a","1,846.8","a","2,823.9","a","45,187.7","a","1.7","a","1.1","e"
"Nebraska","1,151.8","a","2,709.4","a","3,861.3","a","62,902.0","a","2.1","a","1.9","e"
"Nevada","697.1","a","1,586.9","a","2,283.9","a","53,486.0","a","3.2","a","3.0","e"
"New Hampshire","882.5","a","2,243.6","a","3,126.1","a","59,979.8","a","1.8","a","1.3","e"
"New Jersey","1,238.8","a","2,953.5","a","4,192.4","a","66,999.3","a","0.7","a","8.9","e"
"New Mexico","1,312.9","a","1,965.1","a","3,278.0","a","45,065.5","a","0.1","a","2.1","e"
"New York","651.7","a","3,753.3","a","4,405.0","a","81,886.8","a","2.1","a","19.6","e"
"North Carolina","1,027.8","a","1,639.5","a","2,667.3","a","52,433.9","a","2.1","a","10.3","e"
"North Dakota","1,641.3","a","2,417.5","a","4,058.8","a","69,505.1","a","-0.0","a","0.8","e"
"Ohio","906.6","a","2,211.3","a","3,117.9","a","55,347.2","a","1.6","a","11.7","e"
"Oklahoma","1,201.9","a","1,500.3","a","2,702.2","a","47,914.7","a","0.8","a","3.9","e"
"Oregon","1,208.5","a","2,141.9","a","3,350.4","a","54,691.1","a","3.8","a","4.1","e"
"Pennsylvania","994.6","a","2,417.7","a","3,412.3","a","58,204.0","a","0.6","a","12.8","e"
"Rhode Island","942.0","a","2,366.2","a","3,308.2","a","55,421.0","a","-0.2","a","1.1","e"
"South Carolina","1,205.4","a","1,826.3","a","3,031.7","a","44,433.2","a","3.3","a","5.0","e"
"South Dakota","952.2","a","1,860.6","a","2,812.8","a","56,983.1","a","-0.1","a","0.9","e"
"Tennessee","723.6","a","1,461.3","a","2,184.9","a","51,566.6","a","1.9","a","6.7","e"
"Texas","996.8","a","2,187.4","a","3,184.2","a","58,866.0","a","2.9","a","28.3","e"
"All states combined","965.4","a","2,181.6","a","3,147.0","a","60,062.3","a","2.4","a","325.0","e"
"Utah","1,558.5","a","1,685.0","a","3,243.5","a","53,935.1","a","3.9","a","3.1","e"
"Vermont","1,908.4","a","2,675.1","a","4,583.6","a","51,589.8","a","0.1","a","0.6","e"
"Virginia","1,079.5","a","2,145.4","a","3,224.8","a","60,184.0","a","1.8","a","8.5","e"
"Washington","1,193.0","a","2,181.3","a","3,374.3","a","70,697.8","a","5.2","a","7.4","e"
"West Virginia","1,255.2","a","1,742.3","a","2,997.6","a","40,265.8","a","1.5","a","1.8","e"
"Wisconsin","941.6","a","2,263.4","a","3,205.0","a","55,609.2","a","1.3","a","5.8","e"
"Wyoming","1,505.7","a","3,844.4","a","5,350.1","a","64,694.4","a","-0.1","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
