""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2018"
"Amounts in $ per capita"
"Education"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,373.8","a","1,653.3","a","3,027.1","a","45,366.3","a","2.8","a","4.9","e"
"Alaska","1,883.4","a","2,538.8","a","4,422.2","a","74,454.1","a","0.7","a","0.7","e"
"Arizona","843.2","a","1,387.8","a","2,231.0","a","48,658.3","a","4.1","a","7.2","e"
"Arkansas","1,131.7","a","1,787.1","a","2,918.8","a","42,667.9","a","1.7","a","3.0","e"
"California","968.9","a","2,647.5","a","3,616.4","a","75,965.7","a","4.3","a","39.5","e"
"Colorado","1,312.0","a","2,028.1","a","3,340.1","a","65,319.1","a","3.5","a","5.7","e"
"Connecticut","1,077.3","a","2,775.0","a","3,852.3","a","77,201.6","a","0.5","a","3.6","e"
"Delaware","1,894.1","a","2,193.5","a","4,087.6","a","76,108.6","a","0.0","a","1.0","e"
"District of Columbia","0.0","a","4,519.1","a","4,519.1","a","200,501.2","a","2.5","a","0.7","e"
"Florida","583.1","a","1,554.3","a","2,137.4","a","48,918.5","a","3.2","a","21.2","e"
"Georgia","833.5","a","1,988.3","a","2,821.8","a","56,336.0","a","2.4","a","10.5","e"
"Hawaii","2,602.0","a","0.0","a","2,602.0","a","66,027.4","a","2.4","a","1.4","e"
"Idaho","781.0","a","1,452.8","a","2,233.8","a","44,016.1","a","4.0","a","1.8","e"
"Illinois","677.9","a","2,428.4","a","3,106.3","a","68,010.9","a","2.1","a","12.7","e"
"Indiana","1,189.6","a","1,613.3","a","2,802.9","a","54,783.1","a","2.0","a","6.7","e"
"Iowa","1,096.2","a","2,500.5","a","3,596.7","a","60,249.3","a","2.2","a","3.1","e"
"Kansas","1,002.1","a","2,465.7","a","3,467.8","a","57,814.2","a","2.1","a","2.9","e"
"Kentucky","1,389.3","a","1,551.3","a","2,940.7","a","46,644.5","a","1.4","a","4.5","e"
"Louisiana","906.9","a","1,754.5","a","2,661.3","a","55,215.7","a","2.6","a","4.7","e"
"Maine","767.6","a","2,025.1","a","2,792.8","a","48,434.0","a","2.2","a","1.3","e"
"Maryland","989.5","a","2,571.7","a","3,561.3","a","68,356.1","a","2.5","a","6.0","e"
"Massachusetts","1,025.2","a","2,423.8","a","3,449.0","a","82,742.7","a","3.1","a","6.9","e"
"Michigan","1,254.3","a","2,025.6","a","3,280.0","a","52,793.7","a","2.5","a","10.0","e"
"Minnesota","1,187.0","a","2,435.8","a","3,622.8","a","65,793.0","a","2.6","a","5.6","e"
"Mississippi","919.3","a","1,827.5","a","2,746.8","a","38,521.7","a","1.3","a","3.0","e"
"Missouri","667.6","a","1,901.8","a","2,569.4","a","52,097.5","a","2.4","a","6.1","e"
"Montana","981.2","a","1,957.5","a","2,938.7","a","47,448.4","a","2.6","a","1.1","e"
"Nebraska","1,123.7","a","2,705.1","a","3,828.8","a","64,383.8","a","0.9","a","1.9","e"
"Nevada","751.2","a","1,629.9","a","2,381.1","a","55,927.0","a","4.2","a","3.0","e"
"New Hampshire","852.9","a","2,317.9","a","3,170.8","a","62,405.9","a","2.3","a","1.4","e"
"New Jersey","1,295.7","a","2,989.1","a","4,284.7","a","69,997.9","a","2.2","a","8.9","e"
"New Mexico","1,345.5","a","1,914.4","a","3,259.8","a","47,926.2","a","2.5","a","2.1","e"
"New York","660.2","a","3,910.2","a","4,570.4","a","85,449.9","a","1.2","a","19.5","e"
"North Carolina","1,056.8","a","1,678.4","a","2,735.2","a","54,297.0","a","2.4","a","10.4","e"
"North Dakota","1,546.3","a","2,402.4","a","3,948.7","a","73,979.4","a","3.6","a","0.8","e"
"Ohio","935.6","a","2,240.5","a","3,176.1","a","57,886.9","a","1.9","a","11.7","e"
"Oklahoma","1,147.5","a","1,554.6","a","2,702.1","a","51,406.5","a","2.6","a","3.9","e"
"Oregon","1,252.4","a","2,272.0","a","3,524.4","a","57,338.4","a","3.8","a","4.2","e"
"Pennsylvania","962.2","a","2,500.7","a","3,462.9","a","61,180.7","a","2.6","a","12.8","e"
"Rhode Island","994.5","a","2,391.3","a","3,385.8","a","57,250.5","a","1.2","a","1.1","e"
"South Carolina","1,195.3","a","1,892.5","a","3,087.8","a","46,011.5","a","2.6","a","5.1","e"
"South Dakota","1,008.4","a","1,946.8","a","2,955.1","a","59,195.4","a","1.9","a","0.9","e"
"Tennessee","731.9","a","1,491.8","a","2,223.7","a","53,769.2","a","3.1","a","6.8","e"
"Texas","992.6","a","2,230.1","a","3,222.6","a","62,961.6","a","4.0","a","28.6","e"
"All states combined","987.7","a","2,253.8","a","3,241.5","a","62,996.7","a","2.9","a","326.7","e"
"Utah","1,609.4","a","1,758.8","a","3,368.2","a","56,488.1","a","3.7","a","3.2","e"
"Vermont","1,914.7","a","3,023.5","a","4,938.2","a","53,264.8","a","1.2","a","0.6","e"
"Virginia","1,142.6","a","2,112.7","a","3,255.3","a","62,683.7","a","2.6","a","8.5","e"
"Washington","1,220.9","a","2,403.7","a","3,624.6","a","75,204.8","a","5.8","a","7.5","e"
"West Virginia","1,187.4","a","1,698.8","a","2,886.2","a","42,918.6","a","2.3","a","1.8","e"
"Wisconsin","971.3","a","2,392.8","a","3,364.1","a","57,907.7","a","2.4","a","5.8","e"
"Wyoming","1,308.5","a","3,502.2","a","4,810.7","a","67,725.8","a","0.1","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
