""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2018"
"Amounts in $ per capita"
"Protection"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","167.0","a","396.0","a","563.0","a","45,366.3","a","2.8","a","4.9","e"
"Alaska","865.2","a","691.6","a","1,556.8","a","74,454.1","a","0.7","a","0.7","e"
"Arizona","197.2","a","573.8","a","771.0","a","48,658.3","a","4.1","a","7.2","e"
"Arkansas","174.4","a","362.5","a","536.9","a","42,667.9","a","1.7","a","3.0","e"
"California","338.5","a","905.5","a","1,244.0","a","75,965.7","a","4.3","a","39.5","e"
"Colorado","220.5","a","587.3","a","807.8","a","65,319.1","a","3.5","a","5.7","e"
"Connecticut","256.8","a","466.1","a","722.9","a","77,201.6","a","0.5","a","3.6","e"
"Delaware","552.2","a","291.2","a","843.3","a","76,108.6","a","0.0","a","1.0","e"
"District of Columbia","0.0","a","1,880.4","a","1,880.4","a","200,501.2","a","2.5","a","0.7","e"
"Florida","172.0","a","714.7","a","886.8","a","48,918.5","a","3.2","a","21.2","e"
"Georgia","172.3","a","433.3","a","605.6","a","56,336.0","a","2.4","a","10.5","e"
"Hawaii","233.3","a","497.2","a","730.5","a","66,027.4","a","2.4","a","1.4","e"
"Idaho","227.7","a","446.9","a","674.6","a","44,016.1","a","4.0","a","1.8","e"
"Illinois","201.8","a","682.6","a","884.4","a","68,010.9","a","2.1","a","12.7","e"
"Indiana","155.0","a","395.4","a","550.4","a","54,783.1","a","2.0","a","6.7","e"
"Iowa","142.5","a","388.8","a","531.2","a","60,249.3","a","2.2","a","3.1","e"
"Kansas","164.6","a","478.0","a","642.6","a","57,814.2","a","2.1","a","2.9","e"
"Kentucky","228.1","a","301.0","a","529.1","a","46,644.5","a","1.4","a","4.5","e"
"Louisiana","177.5","a","534.3","a","711.8","a","55,215.7","a","2.6","a","4.7","e"
"Maine","215.5","a","376.8","a","592.3","a","48,434.0","a","2.2","a","1.3","e"
"Maryland","364.5","a","656.2","a","1,020.7","a","68,356.1","a","2.5","a","6.0","e"
"Massachusetts","287.1","a","491.9","a","779.0","a","82,742.7","a","3.1","a","6.9","e"
"Michigan","270.9","a","406.2","a","677.1","a","52,793.7","a","2.5","a","10.0","e"
"Minnesota","181.8","a","549.4","a","731.2","a","65,793.0","a","2.6","a","5.6","e"
"Mississippi","176.6","a","386.1","a","562.7","a","38,521.7","a","1.3","a","3.0","e"
"Missouri","176.9","a","445.1","a","622.1","a","52,097.5","a","2.4","a","6.1","e"
"Montana","266.2","a","452.2","a","718.4","a","47,448.4","a","2.6","a","1.1","e"
"Nebraska","261.7","a","467.2","a","728.9","a","64,383.8","a","0.9","a","1.9","e"
"Nevada","174.9","a","786.8","a","961.7","a","55,927.0","a","4.2","a","3.0","e"
"New Hampshire","186.0","a","525.7","a","711.7","a","62,405.9","a","2.3","a","1.4","e"
"New Jersey","255.6","a","526.3","a","781.9","a","69,997.9","a","2.2","a","8.9","e"
"New Mexico","335.9","a","557.3","a","893.2","a","47,926.2","a","2.5","a","2.1","e"
"New York","226.0","a","900.7","a","1,126.7","a","85,449.9","a","1.2","a","19.5","e"
"North Carolina","212.8","a","451.5","a","664.3","a","54,297.0","a","2.4","a","10.4","e"
"North Dakota","212.9","a","494.7","a","707.6","a","73,979.4","a","3.6","a","0.8","e"
"Ohio","192.0","a","540.7","a","732.7","a","57,886.9","a","1.9","a","11.7","e"
"Oklahoma","226.4","a","415.0","a","641.4","a","51,406.5","a","2.6","a","3.9","e"
"Oregon","306.3","a","649.3","a","955.7","a","57,338.4","a","3.8","a","4.2","e"
"Pennsylvania","273.3","a","431.2","a","704.5","a","61,180.7","a","2.6","a","12.8","e"
"Rhode Island","310.2","a","717.6","a","1,027.9","a","57,250.5","a","1.2","a","1.1","e"
"South Carolina","153.6","a","404.6","a","558.2","a","46,011.5","a","2.6","a","5.1","e"
"South Dakota","232.5","a","342.7","a","575.2","a","59,195.4","a","1.9","a","0.9","e"
"Tennessee","149.8","a","468.6","a","618.4","a","53,769.2","a","3.1","a","6.8","e"
"Texas","190.4","a","474.0","a","664.4","a","62,961.6","a","4.0","a","28.6","e"
"All states combined","231.0","a","586.2","a","817.3","a","62,996.7","a","2.9","a","326.7","e"
"Utah","189.1","a","380.9","a","570.0","a","56,488.1","a","3.7","a","3.2","e"
"Vermont","479.9","a","315.9","a","795.8","a","53,264.8","a","1.2","a","0.6","e"
"Virginia","248.4","a","574.2","a","822.6","a","62,683.7","a","2.6","a","8.5","e"
"Washington","235.5","a","574.3","a","809.8","a","75,204.8","a","5.8","a","7.5","e"
"West Virginia","246.3","a","284.2","a","530.5","a","42,918.6","a","2.3","a","1.8","e"
"Wisconsin","205.7","a","549.4","a","755.1","a","57,907.7","a","2.4","a","5.8","e"
"Wyoming","364.8","a","596.4","a","961.2","a","67,725.8","a","0.1","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
