""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2020"
"Amounts in $ per capita"
"Education"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,549.2","g","1,716.7","g","3,265.9","g","48,685.8","g","1.5","g","4.9","g"
"Alaska","1,839.6","g","2,475.4","g","4,315.1","g","77,614.7","g","1.7","g","0.7","g"
"Arizona","913.4","g","1,436.3","g","2,349.8","g","51,588.1","g","2.0","g","7.4","g"
"Arkansas","1,260.9","g","1,881.4","g","3,142.2","g","45,515.1","g","1.2","g","3.0","g"
"California","1,076.5","g","2,998.5","g","4,075.0","g","82,460.8","g","1.7","g","39.6","g"
"Colorado","1,381.0","g","2,299.6","g","3,680.6","g","69,777.0","g","2.3","g","5.8","g"
"Connecticut","980.5","g","3,000.4","g","3,980.9","g","82,941.3","g","1.1","g","3.6","g"
"Delaware","1,758.2","g","2,222.8","g","3,981.0","g","78,923.1","g","0.7","g","1.0","g"
"District of Columbia","0.0","g","4,887.8","g","4,887.8","g","213,214.2","g","1.1","g","0.7","g"
"Florida","641.3","g","1,624.1","g","2,265.4","g","52,524.4","g","1.8","g","21.7","g"
"Georgia","912.3","g","2,108.4","g","3,020.6","g","59,556.6","g","1.3","g","10.7","g"
"Hawaii","2,941.4","g","0.0","g","2,941.4","g","71,291.2","g","0.8","g","1.4","g"
"Idaho","871.7","g","1,544.0","g","2,415.6","g","46,209.1","g","1.8","g","1.8","g"
"Illinois","711.0","g","2,581.6","g","3,292.7","g","73,494.5","g","1.1","g","12.6","g"
"Indiana","1,275.4","g","1,671.9","g","2,947.3","g","57,315.4","g","0.7","g","6.8","g"
"Iowa","1,118.1","g","2,577.8","g","3,695.9","g","63,342.5","g","0.7","g","3.2","g"
"Kansas","948.6","g","2,644.6","g","3,593.2","g","61,123.3","g","0.7","g","2.9","g"
"Kentucky","1,383.3","g","1,607.2","g","2,990.5","g","49,462.5","g","0.8","g","4.5","g"
"Louisiana","907.2","g","1,760.6","g","2,667.8","g","58,446.9","g","0.9","g","4.6","g"
"Maine","797.8","g","2,197.8","g","2,995.7","g","51,861.2","g","1.3","g","1.3","g"
"Maryland","1,061.9","g","2,677.8","g","3,739.7","g","73,193.9","g","1.1","g","6.1","g"
"Massachusetts","1,020.8","g","2,546.2","g","3,567.1","g","89,675.0","g","1.6","g","6.9","g"
"Michigan","1,388.9","g","2,175.9","g","3,564.8","g","55,753.2","g","0.6","g","10.0","g"
"Minnesota","1,174.7","g","2,548.6","g","3,723.3","g","69,242.5","g","1.0","g","5.7","g"
"Mississippi","900.8","g","1,868.9","g","2,769.7","g","41,275.5","g","1.0","g","3.0","g"
"Missouri","645.3","g","1,986.8","g","2,632.1","g","55,943.8","g","1.4","g","6.2","g"
