""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2015"
"Amounts in $ per capita"
"Protection"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","156.3","a","374.0","a","530.3","a","41,300.2","a","1.3","a","4.9","e"
"Alaska","660.7","a","696.1","a","1,356.8","a","68,666.8","a","1.0","a","0.7","e"
"Arizona","202.6","a","539.6","a","742.2","a","43,507.3","a","2.4","a","6.8","e"
"Arkansas","177.2","a","357.2","a","534.4","a","39,878.8","a","0.8","a","3.0","e"
"California","347.9","a","758.2","a","1,106.1","a","65,619.3","a","5.0","a","38.9","e"
"Colorado","206.3","a","541.6","a","748.0","a","58,443.8","a","4.6","a","5.5","e"
"Connecticut","278.4","a","435.7","a","714.0","a","72,501.9","a","2.2","a","3.6","e"
"Delaware","520.1","a","293.3","a","813.5","a","75,398.9","a","3.7","a","0.9","e"
"District of Columbia","0.0","a","1,579.9","a","1,579.9","a","185,389.4","a","2.0","a","0.7","e"
"Florida","162.2","a","644.6","a","806.8","a","44,294.4","a","4.2","a","20.2","e"
"Georgia","154.0","a","423.5","a","577.5","a","50,456.5","a","3.4","a","10.2","e"
"Hawaii","206.3","a","454.2","a","660.5","a","58,162.5","a","3.6","a","1.4","e"
"Idaho","332.3","a","385.0","a","717.3","a","39,976.9","a","2.8","a","1.7","e"
"Illinois","161.3","a","632.1","a","793.4","a","61,669.3","a","1.3","a","12.9","e"
"Indiana","146.2","a","341.0","a","487.2","a","49,941.1","a","-0.7","a","6.6","e"
"Iowa","142.3","a","349.1","a","491.4","a","57,185.3","a","2.6","a","3.1","e"
"Kansas","164.6","a","425.9","a","590.5","a","52,380.0","a","1.9","a","2.9","e"
"Kentucky","198.0","a","269.1","a","467.1","a","43,362.8","a","0.7","a","4.4","e"
"Louisiana","165.5","a","568.8","a","734.3","a","50,228.8","a","-0.5","a","4.7","e"
"Maine","187.6","a","320.0","a","507.6","a","43,309.1","a","0.7","a","1.3","e"
"Maryland","363.7","a","613.6","a","977.3","a","61,330.3","a","1.9","a","6.0","e"
"Massachusetts","268.4","a","446.8","a","715.2","a","74,012.5","a","3.8","a","6.8","e"
"Michigan","258.6","a","372.7","a","631.3","a","47,756.2","a","2.5","a","9.9","e"
"Minnesota","154.3","a","462.0","a","616.3","a","60,104.2","a","1.2","a","5.5","e"
"Mississippi","164.2","a","357.8","a","522.0","a","35,430.5","a","0.1","a","3.0","e"
"Missouri","175.0","a","401.9","a","576.9","a","48,552.1","a","1.3","a","6.1","e"
"Montana","288.0","a","398.8","a","686.8","a","44,787.8","a","3.9","a","1.0","e"
"Nebraska","246.5","a","396.1","a","642.6","a","60,978.8","a","2.9","a","1.9","e"
"Nevada","144.0","a","721.1","a","865.1","a","50,308.7","a","4.2","a","2.9","e"
"New Hampshire","172.8","a","485.7","a","658.5","a","56,896.2","a","2.8","a","1.3","e"
"New Jersey","256.6","a","519.4","a","776.0","a","64,240.3","a","1.8","a","8.9","e"
"New Mexico","353.0","a","526.3","a","879.3","a","43,540.6","a","2.2","a","2.1","e"
"New York","208.8","a","815.9","a","1,024.7","a","75,694.4","a","1.7","a","19.7","e"
"North Carolina","194.6","a","419.4","a","614.0","a","50,204.3","a","3.2","a","10.0","e"
"North Dakota","200.6","a","358.4","a","559.0","a","72,954.1","a","-2.9","a","0.8","e"
"Ohio","162.4","a","479.4","a","641.8","a","52,573.4","a","1.5","a","11.6","e"
"Oklahoma","214.9","a","381.5","a","596.4","a","47,560.3","a","4.3","a","3.9","e"
"Oregon","268.2","a","571.4","a","839.6","a","50,590.0","a","5.6","a","4.0","e"
"Pennsylvania","259.1","a","393.0","a","652.1","a","55,629.0","a","2.2","a","12.8","e"
"Rhode Island","289.1","a","645.5","a","934.6","a","53,746.4","a","1.8","a","1.1","e"
"South Carolina","146.6","a","361.9","a","508.5","a","41,685.1","a","3.5","a","4.9","e"
"South Dakota","228.6","a","317.3","a","545.9","a","55,916.8","a","2.9","a","0.9","e"
"Tennessee","146.6","a","424.0","a","570.5","a","48,954.0","a","3.4","a","6.6","e"
"Texas","180.2","a","428.8","a","608.9","a","57,097.0","a","4.8","a","27.5","e"
"All states combined","222.1","a","528.6","a","750.7","a","56,839.7","a","2.9","a","320.6","e"
"Utah","181.3","a","351.1","a","532.4","a","50,093.9","a","4.1","a","3.0","e"
"Vermont","483.8","a","260.5","a","744.4","a","49,150.4","a","1.3","a","0.6","e"
"Virginia","226.7","a","545.8","a","772.5","a","57,908.2","a","2.0","a","8.4","e"
"Washington","250.0","a","520.2","a","770.2","a","65,654.8","a","4.4","a","7.2","e"
"West Virginia","232.5","a","254.8","a","487.3","a","38,153.7","a","-0.2","a","1.8","e"
"Wisconsin","234.3","a","505.4","a","739.8","a","53,084.4","a","1.8","a","5.8","e"
"Wyoming","370.1","a","582.6","a","952.7","a","64,413.7","a","2.6","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
