""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2015"
"Amounts in $ per capita"
"Education"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,485.2","a","1,564.4","a","3,049.6","a","41,300.2","a","1.3","a","4.9","e"
"Alaska","2,016.6","a","3,019.8","a","5,036.4","a","68,666.8","a","1.0","a","0.7","e"
"Arizona","710.9","a","1,348.0","a","2,058.9","a","43,507.3","a","2.4","a","6.8","e"
"Arkansas","1,046.0","a","1,720.1","a","2,766.2","a","39,878.8","a","0.8","a","3.0","e"
"California","841.6","a","2,154.2","a","2,995.8","a","65,619.3","a","5.0","a","38.9","e"
"Colorado","1,115.8","a","1,750.4","a","2,866.2","a","58,443.8","a","4.6","a","5.5","e"
"Connecticut","1,091.7","a","2,601.5","a","3,693.2","a","72,501.9","a","2.2","a","3.6","e"
"Delaware","1,851.7","a","2,036.3","a","3,888.0","a","75,398.9","a","3.7","a","0.9","e"
"District of Columbia","0.0","a","4,140.2","a","4,140.2","a","185,389.4","a","2.0","a","0.7","e"
"Florida","493.5","a","1,499.2","a","1,992.7","a","44,294.4","a","4.2","a","20.2","e"
"Georgia","718.6","a","1,810.8","a","2,529.4","a","50,456.5","a","3.4","a","10.2","e"
"Hawaii","2,258.6","a","0.1","a","2,258.6","a","58,162.5","a","3.6","a","1.4","e"
"Idaho","684.4","a","1,300.8","a","1,985.2","a","39,976.9","a","2.8","a","1.7","e"
"Illinois","659.0","a","2,329.0","a","2,988.0","a","61,669.3","a","1.3","a","12.9","e"
"Indiana","1,053.3","a","1,537.4","a","2,590.7","a","49,941.1","a","-0.7","a","6.6","e"
"Iowa","1,120.4","a","2,397.2","a","3,517.6","a","57,185.3","a","2.6","a","3.1","e"
"Kansas","938.4","a","2,276.4","a","3,214.8","a","52,380.0","a","1.9","a","2.9","e"
"Kentucky","1,273.5","a","1,429.2","a","2,702.7","a","43,362.8","a","0.7","a","4.4","e"
"Louisiana","840.3","a","1,734.7","a","2,574.9","a","50,228.8","a","-0.5","a","4.7","e"
"Maine","742.8","a","1,797.7","a","2,540.5","a","43,309.1","a","0.7","a","1.3","e"
"Maryland","912.1","a","2,392.1","a","3,304.2","a","61,330.3","a","1.9","a","6.0","e"
"Massachusetts","972.6","a","2,292.6","a","3,265.2","a","74,012.5","a","3.8","a","6.8","e"
"Michigan","1,063.1","a","1,884.6","a","2,947.8","a","47,756.2","a","2.5","a","9.9","e"
"Minnesota","1,015.6","a","2,124.6","a","3,140.2","a","60,104.2","a","1.2","a","5.5","e"
"Mississippi","879.7","a","1,754.3","a","2,634.0","a","35,430.5","a","0.1","a","3.0","e"
"Missouri","681.8","a","1,813.8","a","2,495.7","a","48,552.1","a","1.3","a","6.1","e"
"Montana","901.0","a","1,778.7","a","2,679.7","a","44,787.8","a","3.9","a","1.0","e"
"Nebraska","1,049.2","a","2,478.3","a","3,527.5","a","60,978.8","a","2.9","a","1.9","e"
"Nevada","690.3","a","1,429.8","a","2,120.2","a","50,308.7","a","4.2","a","2.9","e"
"New Hampshire","825.9","a","2,174.0","a","2,999.9","a","56,896.2","a","2.8","a","1.3","e"
"New Jersey","1,127.2","a","2,858.4","a","3,985.6","a","64,240.3","a","1.8","a","8.9","e"
"New Mexico","1,263.6","a","1,996.3","a","3,259.8","a","43,540.6","a","2.2","a","2.1","e"
"New York","635.2","a","3,467.2","a","4,102.3","a","75,694.4","a","1.7","a","19.7","e"
"North Carolina","971.0","a","1,558.2","a","2,529.2","a","50,204.3","a","3.2","a","10.0","e"
"North Dakota","1,620.9","a","2,305.2","a","3,926.1","a","72,954.1","a","-2.9","a","0.8","e"
"Ohio","889.1","a","2,011.9","a","2,901.0","a","52,573.4","a","1.5","a","11.6","e"
"Oklahoma","1,062.3","a","1,547.0","a","2,609.3","a","47,560.3","a","4.3","a","3.9","e"
"Oregon","1,155.9","a","1,939.1","a","3,095.0","a","50,590.0","a","5.6","a","4.0","e"
"Pennsylvania","894.5","a","2,224.3","a","3,118.8","a","55,629.0","a","2.2","a","12.8","e"
"Rhode Island","884.6","a","2,206.0","a","3,090.6","a","53,746.4","a","1.8","a","1.1","e"
"South Carolina","1,116.4","a","1,710.1","a","2,826.5","a","41,685.1","a","3.5","a","4.9","e"
"South Dakota","875.9","a","1,793.3","a","2,669.2","a","55,916.8","a","2.9","a","0.9","e"
"Tennessee","737.7","a","1,402.4","a","2,140.1","a","48,954.0","a","3.4","a","6.6","e"
"Texas","923.1","a","2,010.7","a","2,933.8","a","57,097.0","a","4.8","a","27.5","e"
"All states combined","905.2","a","2,045.0","a","2,950.2","a","56,839.7","a","2.9","a","320.6","e"
"Utah","1,423.9","a","1,517.5","a","2,941.4","a","50,093.9","a","4.1","a","3.0","e"
"Vermont","1,635.6","a","2,571.4","a","4,207.0","a","49,150.4","a","1.3","a","0.6","e"
"Virginia","1,051.6","a","2,017.0","a","3,068.6","a","57,908.2","a","2.0","a","8.4","e"
"Washington","1,108.3","a","1,906.9","a","3,015.2","a","65,654.8","a","4.4","a","7.2","e"
"West Virginia","1,177.2","a","1,740.3","a","2,917.5","a","38,153.7","a","-0.2","a","1.8","e"
"Wisconsin","936.3","a","2,198.3","a","3,134.6","a","53,084.4","a","1.8","a","5.8","e"
"Wyoming","1,237.1","a","3,869.2","a","5,106.3","a","64,413.7","a","2.6","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
