""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2018"
"Amounts in $ per capita"
"Health Care"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,910.6","a","856.7","a","2,767.2","a","45,366.3","a","2.8","a","4.9","e"
"Alaska","3,222.5","a","674.0","a","3,896.6","a","74,454.1","a","0.7","a","0.7","e"
"Arizona","1,704.6","a","140.8","a","1,845.4","a","48,658.3","a","4.1","a","7.2","e"
"Arkansas","2,528.4","a","98.6","a","2,627.0","a","42,667.9","a","1.7","a","3.0","e"
"California","3,117.5","a","1,009.0","a","4,126.5","a","75,965.7","a","4.3","a","39.5","e"
"Colorado","1,702.2","a","377.1","a","2,079.3","a","65,319.1","a","3.5","a","5.7","e"
"Connecticut","1,394.5","a","42.2","a","1,436.7","a","77,201.6","a","0.5","a","3.6","e"
"Delaware","3,013.1","a","40.9","a","3,054.1","a","76,108.6","a","0.0","a","1.0","e"
"District of Columbia","0.0","a","4,445.3","a","4,445.3","a","200,501.2","a","2.5","a","0.7","e"
"Florida","1,467.1","a","494.2","a","1,961.3","a","48,918.5","a","3.2","a","21.2","e"
"Georgia","1,298.5","a","486.4","a","1,784.9","a","56,336.0","a","2.4","a","10.5","e"
"Hawaii","2,477.7","a","27.6","a","2,505.3","a","66,027.4","a","2.4","a","1.4","e"
"Idaho","1,429.3","a","459.0","a","1,888.3","a","44,016.1","a","4.0","a","1.8","e"
"Illinois","1,712.8","a","253.1","a","1,966.0","a","68,010.9","a","2.1","a","12.7","e"
"Indiana","1,971.5","a","715.4","a","2,686.9","a","54,783.1","a","2.0","a","6.7","e"
"Iowa","2,466.6","a","733.8","a","3,200.5","a","60,249.3","a","2.2","a","3.1","e"
"Kansas","2,259.2","a","404.3","a","2,663.5","a","57,814.2","a","2.1","a","2.9","e"
"Kentucky","2,945.3","a","248.4","a","3,193.8","a","46,644.5","a","1.4","a","4.5","e"
"Louisiana","2,614.9","a","587.4","a","3,202.3","a","55,215.7","a","2.6","a","4.7","e"
"Maine","2,015.5","a","117.7","a","2,133.2","a","48,434.0","a","2.2","a","1.3","e"
"Maryland","2,055.2","a","97.6","a","2,152.8","a","68,356.1","a","2.5","a","6.0","e"
"Massachusetts","3,450.1","a","156.4","a","3,606.5","a","82,742.7","a","3.1","a","6.9","e"
"Michigan","1,934.2","a","372.3","a","2,306.5","a","52,793.7","a","2.5","a","10.0","e"
"Minnesota","2,558.4","a","512.8","a","3,071.3","a","65,793.0","a","2.6","a","5.6","e"
"Mississippi","2,556.4","a","888.1","a","3,444.5","a","38,521.7","a","1.3","a","3.0","e"
"Missouri","2,233.7","a","385.3","a","2,618.9","a","52,097.5","a","2.4","a","6.1","e"
"Montana","2,209.1","a","236.7","a","2,445.8","a","47,448.4","a","2.6","a","1.1","e"
"Nebraska","1,286.5","a","392.5","a","1,678.9","a","64,383.8","a","0.9","a","1.9","e"
"Nevada","1,324.8","a","348.4","a","1,673.2","a","55,927.0","a","4.2","a","3.0","e"
"New Hampshire","1,499.6","a","18.4","a","1,518.0","a","62,405.9","a","2.3","a","1.4","e"
"New Jersey","2,224.8","a","79.1","a","2,303.9","a","69,997.9","a","2.2","a","8.9","e"
"New Mexico","3,505.2","a","164.2","a","3,669.4","a","47,926.2","a","2.5","a","2.1","e"
"New York","3,683.5","a","829.1","a","4,512.6","a","85,449.9","a","1.2","a","19.5","e"
"North Carolina","1,616.9","a","1,111.6","a","2,728.6","a","54,297.0","a","2.4","a","10.4","e"
"North Dakota","1,861.4","a","91.7","a","1,953.1","a","73,979.4","a","3.6","a","0.8","e"
"Ohio","2,540.2","a","330.3","a","2,870.6","a","57,886.9","a","1.9","a","11.7","e"
"Oklahoma","1,683.0","a","331.9","a","2,014.9","a","51,406.5","a","2.6","a","3.9","e"
"Oregon","2,407.3","a","326.9","a","2,734.2","a","57,338.4","a","3.8","a","4.2","e"
"Pennsylvania","2,467.6","a","320.4","a","2,788.0","a","61,180.7","a","2.6","a","12.8","e"
"Rhode Island","2,979.1","a","19.2","a","2,998.3","a","57,250.5","a","1.2","a","1.1","e"
"South Carolina","2,020.9","a","1,016.7","a","3,037.6","a","46,011.5","a","2.6","a","5.1","e"
"South Dakota","1,136.4","a","162.9","a","1,299.3","a","59,195.4","a","1.9","a","0.9","e"
"Tennessee","1,641.8","a","614.5","a","2,256.3","a","53,769.2","a","3.1","a","6.8","e"
"Texas","1,534.3","a","541.6","a","2,075.9","a","62,961.6","a","4.0","a","28.6","e"
"All states combined","2,218.8","a","530.6","a","2,749.4","a","62,996.7","a","2.9","a","326.7","e"
"Utah","1,747.9","a","255.9","a","2,003.8","a","56,488.1","a","3.7","a","3.2","e"
"Vermont","2,445.1","a","15.5","a","2,460.7","a","53,264.8","a","1.2","a","0.6","e"
"Virginia","1,951.9","a","199.1","a","2,151.0","a","62,683.7","a","2.6","a","8.5","e"
"Washington","2,199.6","a","664.7","a","2,864.3","a","75,204.8","a","5.8","a","7.5","e"
"West Virginia","2,368.6","a","209.2","a","2,577.8","a","42,918.6","a","2.3","a","1.8","e"
"Wisconsin","2,133.5","a","203.2","a","2,336.8","a","57,907.7","a","2.4","a","5.8","e"
"Wyoming","1,835.4","a","2,141.4","a","3,976.7","a","67,725.8","a","0.1","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
