""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2016"
"Amounts in $ per capita"
"Health Care"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,799.2","a","896.4","a","2,695.6","a","41,910.0","a","0.7","a","4.9","e"
"Alaska","2,656.1","a","690.3","a","3,346.4","a","66,576.3","a","-2.0","a","0.7","e"
"Arizona","1,515.7","a","180.0","a","1,695.7","a","44,818.9","a","3.2","a","6.9","e"
"Arkansas","2,508.0","a","85.2","a","2,593.2","a","40,260.3","a","0.6","a","3.0","e"
"California","2,650.7","a","899.1","a","3,549.9","a","67,858.0","a","3.0","a","39.2","e"
"Colorado","1,496.6","a","351.2","a","1,847.8","a","59,461.1","a","2.4","a","5.5","e"
"Connecticut","1,316.8","a","44.2","a","1,361.0","a","73,696.4","a","-0.0","a","3.6","e"
"Delaware","2,655.1","a","41.4","a","2,696.5","a","73,293.5","a","-4.2","a","0.9","e"
"District of Columbia","0.0","a","5,306.7","a","5,306.7","a","189,301.8","a","2.0","a","0.7","e"
"Florida","1,366.6","a","445.3","a","1,811.9","a","45,541.7","a","3.3","a","20.6","e"
"Georgia","1,229.4","a","459.5","a","1,688.8","a","52,371.4","a","3.5","a","10.3","e"
"Hawaii","2,385.4","a","25.8","a","2,411.2","a","60,133.2","a","2.2","a","1.4","e"
"Idaho","1,336.0","a","462.2","a","1,798.2","a","41,030.8","a","3.9","a","1.7","e"
"Illinois","1,539.2","a","246.2","a","1,785.4","a","62,892.7","a","0.4","a","12.8","e"
"Indiana","1,805.7","a","810.4","a","2,616.2","a","50,966.3","a","1.6","a","6.6","e"
"Iowa","2,300.9","a","671.3","a","2,972.3","a","57,338.2","a","-0.3","a","3.1","e"
"Kansas","1,903.1","a","409.2","a","2,312.3","a","53,887.2","a","2.6","a","2.9","e"
"Kentucky","2,775.5","a","235.4","a","3,010.9","a","44,014.0","a","0.7","a","4.4","e"
"Louisiana","1,916.9","a","574.6","a","2,491.5","a","48,572.1","a","-1.8","a","4.7","e"
"Maine","1,975.9","a","104.9","a","2,080.8","a","44,883.2","a","2.2","a","1.3","e"
"Maryland","1,900.3","a","96.0","a","1,996.3","a","64,112.7","a","3.4","a","6.0","e"
"Massachusetts","3,205.0","a","148.5","a","3,353.5","a","76,119.2","a","1.7","a","6.8","e"
"Michigan","1,847.4","a","424.7","a","2,272.1","a","49,421.7","a","2.2","a","10.0","e"
"Minnesota","2,373.1","a","479.8","a","2,852.9","a","61,400.7","a","1.9","a","5.5","e"
"Mississippi","2,501.7","a","847.7","a","3,349.4","a","35,843.1","a","0.4","a","3.0","e"
"Missouri","2,008.7","a","362.9","a","2,371.6","a","48,887.2","a","-0.4","a","6.1","e"
"Montana","1,804.4","a","229.0","a","2,033.4","a","43,673.4","a","-1.4","a","1.0","e"
"Nebraska","1,155.7","a","399.0","a","1,554.8","a","60,974.4","a","0.4","a","1.9","e"
"Nevada","1,142.9","a","290.4","a","1,433.3","a","51,829.3","a","2.9","a","2.9","e"
"New Hampshire","1,409.4","a","17.2","a","1,426.6","a","58,464.8","a","1.8","a","1.3","e"
"New Jersey","1,869.6","a","81.6","a","1,951.2","a","65,656.5","a","0.9","a","8.9","e"
"New Mexico","3,688.5","a","162.9","a","3,851.4","a","43,527.6","a","0.1","a","2.1","e"
"New York","3,116.2","a","779.7","a","3,896.0","a","78,415.4","a","1.3","a","19.6","e"
"North Carolina","1,481.6","a","1,202.1","a","2,683.6","a","51,120.8","a","1.2","a","10.2","e"
"North Dakota","1,808.5","a","78.7","a","1,887.2","a","67,379.1","a","-7.0","a","0.8","e"
"Ohio","2,445.9","a","350.0","a","2,795.9","a","53,533.9","a","0.8","a","11.6","e"
"Oklahoma","1,654.7","a","302.9","a","1,957.6","a","45,567.5","a","-3.0","a","3.9","e"
"Oregon","2,281.7","a","327.3","a","2,609.0","a","52,579.7","a","4.7","a","4.1","e"
"Pennsylvania","2,279.2","a","328.2","a","2,607.4","a","56,810.1","a","1.3","a","12.8","e"
"Rhode Island","2,761.7","a","19.5","a","2,781.3","a","54,594.6","a","-0.0","a","1.1","e"
"South Carolina","1,908.4","a","1,009.5","a","2,918.0","a","42,958.5","a","2.9","a","5.0","e"
"South Dakota","1,097.4","a","140.3","a","1,237.7","a","56,322.5","a","0.5","a","0.9","e"
"Tennessee","1,651.4","a","550.0","a","2,201.4","a","50,410.1","a","2.1","a","6.6","e"
"Texas","1,527.7","a","469.4","a","1,997.1","a","56,086.8","a","0.2","a","27.9","e"
"All states combined","2,016.9","a","506.8","a","2,523.7","a","57,951.8","a","1.6","a","322.9","e"
"Utah","1,577.4","a","147.7","a","1,725.1","a","51,903.3","a","4.0","a","3.0","e"
"Vermont","2,494.8","a","16.2","a","2,511.0","a","50,763.5","a","1.6","a","0.6","e"
"Virginia","1,748.3","a","201.1","a","1,949.4","a","58,724.3","a","0.4","a","8.4","e"
"Washington","2,013.5","a","581.0","a","2,594.5","a","67,357.6","a","3.5","a","7.3","e"
"West Virginia","2,299.6","a","202.4","a","2,502.0","a","38,077.9","a","-1.2","a","1.8","e"
"Wisconsin","1,970.2","a","248.7","a","2,218.8","a","54,313.5","a","1.2","a","5.8","e"
"Wyoming","1,743.9","a","2,143.3","a","3,887.2","a","61,176.6","a","-4.2","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
