""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2016"
"Amounts in $ per capita"
"Protection"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","155.3","a","376.9","a","532.2","a","41,910.0","a","0.7","a","4.9","e"
"Alaska","642.8","a","661.3","a","1,304.1","a","66,576.3","a","-2.0","a","0.7","e"
"Arizona","196.6","a","562.5","a","759.1","a","44,818.9","a","3.2","a","6.9","e"
"Arkansas","177.5","a","349.2","a","526.7","a","40,260.3","a","0.6","a","3.0","e"
"California","356.8","a","803.3","a","1,160.1","a","67,858.0","a","3.0","a","39.2","e"
"Colorado","209.6","a","549.9","a","759.5","a","59,461.1","a","2.4","a","5.5","e"
"Connecticut","283.0","a","448.4","a","731.4","a","73,696.4","a","-0.0","a","3.6","e"
"Delaware","527.0","a","284.1","a","811.1","a","73,293.5","a","-4.2","a","0.9","e"
"District of Columbia","0.0","a","1,636.2","a","1,636.2","a","189,301.8","a","2.0","a","0.7","e"
"Florida","162.1","a","656.7","a","818.8","a","45,541.7","a","3.3","a","20.6","e"
"Georgia","156.4","a","424.2","a","580.6","a","52,371.4","a","3.5","a","10.3","e"
"Hawaii","215.4","a","458.2","a","673.6","a","60,133.2","a","2.2","a","1.4","e"
"Idaho","211.0","a","397.4","a","608.4","a","41,030.8","a","3.9","a","1.7","e"
"Illinois","125.5","a","652.7","a","778.2","a","62,892.7","a","0.4","a","12.8","e"
"Indiana","148.9","a","352.8","a","501.7","a","50,966.3","a","1.6","a","6.6","e"
"Iowa","145.3","a","359.1","a","504.4","a","57,338.2","a","-0.3","a","3.1","e"
"Kansas","162.5","a","440.3","a","602.8","a","53,887.2","a","2.6","a","2.9","e"
"Kentucky","206.0","a","275.9","a","481.9","a","44,014.0","a","0.7","a","4.4","e"
"Louisiana","165.7","a","601.7","a","767.3","a","48,572.1","a","-1.8","a","4.7","e"
"Maine","211.8","a","355.9","a","567.7","a","44,883.2","a","2.2","a","1.3","e"
"Maryland","365.0","a","635.2","a","1,000.2","a","64,112.7","a","3.4","a","6.0","e"
"Massachusetts","270.2","a","458.9","a","729.1","a","76,119.2","a","1.7","a","6.8","e"
"Michigan","264.0","a","380.8","a","644.9","a","49,421.7","a","2.2","a","10.0","e"
"Minnesota","160.3","a","486.0","a","646.3","a","61,400.7","a","1.9","a","5.5","e"
"Mississippi","168.3","a","377.4","a","545.7","a","35,843.1","a","0.4","a","3.0","e"
"Missouri","172.6","a","429.2","a","601.8","a","48,887.2","a","-0.4","a","6.1","e"
"Montana","266.1","a","394.7","a","660.9","a","43,673.4","a","-1.4","a","1.0","e"
"Nebraska","259.1","a","419.6","a","678.8","a","60,974.4","a","0.4","a","1.9","e"
"Nevada","150.3","a","742.9","a","893.1","a","51,829.3","a","2.9","a","2.9","e"
"New Hampshire","181.0","a","483.9","a","664.9","a","58,464.8","a","1.8","a","1.3","e"
"New Jersey","257.2","a","539.8","a","797.1","a","65,656.5","a","0.9","a","8.9","e"
"New Mexico","375.9","a","526.3","a","902.2","a","43,527.6","a","0.1","a","2.1","e"
"New York","218.6","a","851.5","a","1,070.1","a","78,415.4","a","1.3","a","19.6","e"
"North Carolina","203.5","a","421.7","a","625.2","a","51,120.8","a","1.2","a","10.2","e"
"North Dakota","205.6","a","411.1","a","616.6","a","67,379.1","a","-7.0","a","0.8","e"
"Ohio","170.0","a","506.0","a","676.0","a","53,533.9","a","0.8","a","11.6","e"
"Oklahoma","223.6","a","391.6","a","615.2","a","45,567.5","a","-3.0","a","3.9","e"
"Oregon","286.3","a","601.0","a","887.3","a","52,579.7","a","4.7","a","4.1","e"
"Pennsylvania","263.2","a","399.8","a","663.0","a","56,810.1","a","1.3","a","12.8","e"
"Rhode Island","294.5","a","680.7","a","975.2","a","54,594.6","a","-0.0","a","1.1","e"
"South Carolina","145.4","a","381.5","a","526.9","a","42,958.5","a","2.9","a","5.0","e"
"South Dakota","228.8","a","329.7","a","558.4","a","56,322.5","a","0.5","a","0.9","e"
"Tennessee","145.9","a","424.5","a","570.4","a","50,410.1","a","2.1","a","6.6","e"
"Texas","191.6","a","441.2","a","632.8","a","56,086.8","a","0.2","a","27.9","e"
"All states combined","224.8","a","547.4","a","772.1","a","57,951.8","a","1.6","a","322.9","e"
"Utah","186.7","a","329.2","a","515.8","a","51,903.3","a","4.0","a","3.0","e"
"Vermont","454.8","a","265.9","a","720.8","a","50,763.5","a","1.6","a","0.6","e"
"Virginia","232.1","a","554.7","a","786.8","a","58,724.3","a","0.4","a","8.4","e"
"Washington","255.6","a","551.0","a","806.6","a","67,357.6","a","3.5","a","7.3","e"
"West Virginia","246.0","a","259.6","a","505.6","a","38,077.9","a","-1.2","a","1.8","e"
"Wisconsin","222.6","a","524.0","a","746.5","a","54,313.5","a","1.2","a","5.8","e"
"Wyoming","373.7","a","626.7","a","1,000.3","a","61,176.6","a","-4.2","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
