""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2013"
"Amounts in $ per capita"
"Health Care"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,575.0","a","825.1","a","2,400.1","a","39,643.4","a","1.0","a","4.8","e"
"Alaska","2,477.1","a","564.4","a","3,041.5","a","76,821.7","a","-5.1","a","0.7","e"
"Arizona","1,422.7","a","154.8","a","1,577.6","a","41,490.9","a","0.7","a","6.6","e"
"Arkansas","1,888.3","a","84.4","a","1,972.7","a","38,606.5","a","2.8","a","3.0","e"
"California","1,499.0","a","741.2","a","2,240.2","a","59,140.7","a","3.6","a","38.3","e"
"Colorado","1,183.0","a","414.7","a","1,597.6","a","54,716.8","a","3.3","a","5.3","e"
"Connecticut","1,947.1","a","41.3","a","1,988.4","a","68,607.2","a","-1.1","a","3.6","e"
"Delaware","2,283.2","a","37.9","a","2,321.1","a","65,686.1","a","-4.5","a","0.9","e"
"District of Columbia","0.0","a","4,964.2","a","4,964.2","a","176,597.5","a","-0.1","a","0.7","e"
"Florida","1,284.3","a","418.6","a","1,702.9","a","40,965.9","a","1.9","a","19.5","e"
"Georgia","1,144.0","a","479.5","a","1,623.4","a","46,185.6","a","1.5","a","10.0","e"
"Hawaii","1,942.1","a","24.4","a","1,966.5","a","53,817.7","a","0.9","a","1.4","e"
"Idaho","1,365.4","a","412.1","a","1,777.6","a","37,870.7","a","3.6","a","1.6","e"
"Illinois","1,468.5","a","172.8","a","1,641.3","a","57,357.3","a","0.5","a","12.9","e"
"Indiana","1,583.0","a","624.8","a","2,207.8","a","46,992.8","a","2.1","a","6.6","e"
"Iowa","1,822.7","a","635.8","a","2,458.5","a","51,826.7","a","-0.4","a","3.1","e"
"Kansas","1,500.9","a","376.6","a","1,877.5","a","49,502.5","a","0.0","a","2.9","e"
"Kentucky","1,749.2","a","207.4","a","1,956.6","a","41,401.4","a","1.8","a","4.4","e"
"Louisiana","1,874.8","a","606.0","a","2,480.8","a","49,511.4","a","-3.0","a","4.6","e"
"Maine","1,826.0","a","96.0","a","1,922.0","a","40,450.7","a","-0.7","a","1.3","e"
"Maryland","1,570.2","a","81.5","a","1,651.7","a","57,613.4","a","0.0","a","5.9","e"
"Massachusetts","2,450.4","a","135.7","a","2,586.1","a","67,678.3","a","0.1","a","6.7","e"
"Michigan","1,437.4","a","478.7","a","1,916.0","a","43,651.3","a","1.3","a","9.9","e"
"Minnesota","1,855.4","a","476.7","a","2,332.1","a","56,553.8","a","2.2","a","5.4","e"
"Mississippi","2,127.7","a","838.6","a","2,966.4","a","34,007.3","a","0.0","a","3.0","e"
"Missouri","1,816.7","a","325.7","a","2,142.4","a","45,996.3","a","1.2","a","6.0","e"
"Montana","1,500.6","a","224.8","a","1,725.3","a","42,563.4","a","1.0","a","1.0","e"
"Nebraska","1,168.6","a","417.2","a","1,585.8","a","57,687.9","a","2.7","a","1.9","e"
"Nevada","696.4","a","278.7","a","975.1","a","47,054.2","a","0.2","a","2.8","e"
"New Hampshire","447.3","a","22.7","a","470.1","a","52,902.8","a","1.6","a","1.3","e"
"New Jersey","1,535.7","a","91.6","a","1,627.3","a","60,256.2","a","0.7","a","8.9","e"
"New Mexico","2,413.4","a","150.7","a","2,564.2","a","42,256.1","a","-1.3","a","2.1","e"
"New York","2,748.0","a","693.9","a","3,441.9","a","69,076.3","a","-0.2","a","19.6","e"
"North Carolina","1,397.5","a","995.7","a","2,393.2","a","46,277.2","a","1.3","a","9.8","e"
"North Dakota","1,330.1","a","73.7","a","1,403.8","a","74,624.7","a","2.3","a","0.7","e"
"Ohio","1,730.4","a","326.7","a","2,057.1","a","48,463.4","a","1.8","a","11.6","e"
"Oklahoma","1,651.1","a","308.1","a","1,959.3","a","47,393.7","a","2.4","a","3.9","e"
"Oregon","1,631.1","a","285.5","a","1,916.5","a","45,732.2","a","0.8","a","3.9","e"
"Pennsylvania","1,854.7","a","292.9","a","2,147.7","a","51,963.5","a","1.6","a","12.8","e"
"Rhode Island","2,067.7","a","15.5","a","2,083.2","a","50,432.1","a","0.9","a","1.1","e"
"South Carolina","1,618.1","a","850.7","a","2,468.8","a","38,415.6","a","2.0","a","4.8","e"
"South Dakota","1,038.7","a","121.1","a","1,159.7","a","53,204.4","a","0.4","a","0.8","e"
"Tennessee","1,489.4","a","489.7","a","1,979.1","a","45,086.0","a","1.1","a","6.5","e"
"Texas","1,333.8","a","406.8","a","1,740.6","a","56,730.9","a","4.3","a","26.5","e"
"All states combined","1,620.3","a","449.7","a","2,070.0","a","53,117.8","a","1.8","a","316.0","e"
"Utah","1,307.8","a","71.7","a","1,379.5","a","46,331.5","a","2.5","a","2.9","e"
"Vermont","2,118.1","a","18.0","a","2,136.2","a","46,468.1","a","-1.3","a","0.6","e"
"Virginia","1,504.8","a","176.5","a","1,681.3","a","55,143.8","a","0.4","a","8.3","e"
"Washington","1,497.7","a","518.0","a","2,015.8","a","60,216.3","a","2.6","a","7.0","e"
"West Virginia","1,884.6","a","168.4","a","2,053.0","a","38,317.7","a","1.1","a","1.9","e"
"Wisconsin","1,689.8","a","237.3","a","1,927.0","a","49,223.9","a","0.7","a","5.7","e"
"Wyoming","1,708.5","a","1,823.1","a","3,531.6","a","66,863.1","a","0.2","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
