""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2019"
"Amounts in $ per capita"
"Protection"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","176.1","g","407.3","g","583.4","g","47,105.8","a","2.3","a","4.9","e"
"Alaska","932.3","g","699.1","g","1,631.4","g","75,738.5","a","2.5","a","0.7","e"
"Arizona","197.3","g","564.8","g","762.1","g","50,309.7","a","3.1","a","7.3","e"
"Arkansas","175.4","g","372.7","g","548.2","g","44,131.8","a","1.8","a","3.0","e"
"California","350.8","g","956.6","g","1,307.5","g","79,405.1","a","2.6","a","39.5","e"
"Colorado","232.3","g","606.3","g","838.6","g","67,772.5","a","3.5","a","5.8","e"
"Connecticut","257.6","g","482.6","g","740.2","g","80,116.9","a","1.6","a","3.6","e"
"Delaware","559.2","g","281.5","g","840.8","g","77,447.4","a","0.8","a","1.0","e"
"District of Columbia","0.0","g","1,976.5","g","1,976.5","g","207,147.3","a","1.6","a","0.7","e"
"Florida","179.4","g","742.0","g","921.4","g","50,906.3","a","2.8","a","21.5","e"
"Georgia","174.6","g","443.5","g","618.1","g","58,049.3","a","2.0","a","10.6","e"
"Hawaii","238.0","g","505.8","g","743.8","g","68,708.1","a","1.0","a","1.4","e"
"Idaho","231.0","g","444.4","g","675.4","g","45,276.0","a","2.8","a","1.8","e"
"Illinois","216.2","g","710.9","g","927.0","g","70,796.9","a","1.6","a","12.7","e"
"Indiana","161.0","g","410.8","g","571.8","g","56,014.8","a","0.8","a","6.7","e"
"Iowa","141.5","g","403.1","g","544.6","g","61,738.4","a","0.9","a","3.2","e"
"Kansas","163.8","g","486.5","g","650.3","g","59,431.4","a","0.9","a","2.9","e"
"Kentucky","235.2","g","309.0","g","544.2","g","48,049.9","a","1.1","a","4.5","e"
"Louisiana","183.5","g","510.3","g","693.8","g","56,758.2","a","1.3","a","4.6","e"
"Maine","215.6","g","383.3","g","598.9","g","50,229.2","a","1.9","a","1.3","e"
"Maryland","361.3","g","676.0","g","1,037.3","g","70,850.4","a","1.5","a","6.0","e"
"Massachusetts","298.4","g","512.6","g","811.0","g","86,406.8","a","2.5","a","6.9","e"
"Michigan","277.8","g","426.4","g","704.3","g","54,226.4","a","0.7","a","10.0","e"
"Minnesota","190.7","g","596.6","g","787.4","g","67,531.9","a","1.4","a","5.6","e"
"Mississippi","177.9","g","396.0","g","573.9","g","39,910.6","a","1.3","a","3.0","e"
"Missouri","180.3","g","455.5","g","635.7","g","54,107.7","a","2.1","a","6.1","e"
"Montana","268.8","g","457.2","g","726.1","g","48,811.8","a","2.1","a","1.1","e"
"Nebraska","273.0","g","497.1","g","770.1","g","65,671.7","a","0.6","a","1.9","e"
"Nevada","182.9","g","806.7","g","989.6","g","57,664.2","a","2.9","a","3.1","e"
"New Hampshire","178.6","g","536.6","g","715.2","g","65,157.3","a","2.7","a","1.4","e"
"New Jersey","253.4","g","514.7","g","768.1","g","72,599.3","a","1.5","a","8.9","e"
"New Mexico","340.0","g","570.4","g","910.5","g","49,599.6","a","3.7","a","2.1","e"
"New York","229.9","g","920.0","g","1,149.9","g","89,027.7","a","1.8","a","19.5","e"
"North Carolina","217.4","g","473.9","g","691.3","g","56,036.0","a","2.3","a","10.5","e"
"North Dakota","209.9","g","475.6","g","685.5","g","74,845.4","a","2.3","a","0.8","e"
"Ohio","200.5","g","557.7","g","758.2","g","59,752.9","a","1.7","a","11.7","e"
"Oklahoma","229.5","g","426.3","g","655.8","g","52,074.7","a","2.4","a","4.0","e"
"Oregon","316.9","g","669.6","g","986.5","g","59,653.7","a","2.7","a","4.2","e"
"Pennsylvania","273.6","g","446.0","g","719.5","g","63,545.9","a","2.3","a","12.8","e"
"Rhode Island","318.3","g","746.1","g","1,064.5","g","59,980.6","a","2.7","a","1.1","e"
"South Carolina","158.4","g","410.3","g","568.7","g","47,839.0","a","3.0","a","5.1","e"
"South Dakota","236.7","g","342.4","g","579.1","g","60,255.6","a","0.7","a","0.9","e"
"Tennessee","155.6","g","487.0","g","642.7","g","55,663.9","a","2.2","a","6.8","e"
"Texas","186.7","g","481.3","g","668.0","g","65,076.8","a","4.4","a","29.0","e"
"All states combined","238.2","g","604.0","g","842.2","g","65,280.6","a","2.3","a","328.2","e"
"Utah","192.0","g","399.0","g","591.0","g","58,797.1","a","3.8","a","3.2","e"
"Vermont","493.7","g","330.4","g","824.1","g","55,746.3","a","2.5","a","0.6","e"
"Virginia","256.7","g","585.3","g","841.9","g","64,930.0","a","1.9","a","8.5","e"
"Washington","244.6","g","582.2","g","826.8","g","78,741.5","a","3.8","a","7.6","e"
"West Virginia","249.4","g","297.4","g","546.8","g","43,628.9","a","1.0","a","1.8","e"
"Wisconsin","209.8","g","556.1","g","765.9","g","59,649.7","a","1.4","a","5.8","e"
"Wyoming","374.5","g","587.2","g","961.8","g","68,502.1","a","3.3","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
"g - 'guesstimated' projection by usgovernmentspending.com"
