""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2014"
"Amounts in $ per capita"
"Protection"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","146.8","a","360.4","a","507.2","a","40,111.3","a","-0.7","a","4.8","e"
"Alaska","674.1","a","612.5","a","1,286.6","a","75,410.4","a","-2.7","a","0.7","e"
"Arizona","207.0","a","530.1","a","737.1","a","42,260.4","a","1.3","a","6.7","e"
"Arkansas","170.0","a","340.1","a","510.1","a","39,542.2","a","1.0","a","3.0","e"
"California","348.6","a","734.5","a","1,083.1","a","62,055.6","a","4.1","a","38.6","e"
"Colorado","211.0","a","538.7","a","749.7","a","57,301.9","a","4.7","a","5.4","e"
"Connecticut","272.9","a","426.8","a","699.7","a","69,234.6","a","-1.4","a","3.6","e"
"Delaware","510.9","a","279.4","a","790.2","a","71,734.0","a","7.3","a","0.9","e"
"District of Columbia","0.0","a","1,619.5","a","1,619.5","a","180,939.1","a","2.0","a","0.7","e"
"Florida","162.0","a","625.4","a","787.5","a","42,300.1","a","2.7","a","19.8","e"
"Georgia","150.7","a","412.1","a","562.8","a","48,256.9","a","3.3","a","10.1","e"
"Hawaii","242.7","a","433.2","a","675.9","a","55,038.6","a","0.3","a","1.4","e"
"Idaho","316.4","a","373.6","a","690.0","a","38,943.9","a","2.6","a","1.6","e"
"Illinois","163.6","a","598.6","a","762.1","a","59,400.7","a","1.4","a","12.9","e"
"Indiana","145.3","a","333.1","a","478.4","a","49,279.9","a","3.2","a","6.6","e"
"Iowa","142.6","a","342.2","a","484.8","a","55,175.8","a","5.4","a","3.1","e"
"Kansas","162.3","a","409.2","a","571.5","a","51,104.0","a","2.1","a","2.9","e"
"Kentucky","191.7","a","285.3","a","476.9","a","42,253.8","a","0.3","a","4.4","e"
"Louisiana","161.3","a","562.8","a","724.2","a","51,395.2","a","3.1","a","4.6","e"
"Maine","179.2","a","314.6","a","493.8","a","41,935.3","a","1.7","a","1.3","e"
"Maryland","359.1","a","578.6","a","937.7","a","59,095.3","a","1.1","a","6.0","e"
"Massachusetts","264.9","a","427.9","a","692.8","a","69,984.8","a","2.0","a","6.8","e"
"Michigan","246.7","a","374.4","a","621.2","a","45,230.1","a","1.7","a","9.9","e"
"Minnesota","149.1","a","442.6","a","591.7","a","58,663.4","a","2.9","a","5.5","e"
"Mississippi","172.9","a","349.2","a","522.1","a","34,826.0","a","0.5","a","3.0","e"
"Missouri","178.9","a","405.6","a","584.5","a","47,011.7","a","0.5","a","6.1","e"
"Montana","272.8","a","386.5","a","659.3","a","43,543.4","a","1.7","a","1.0","e"
"Nebraska","213.2","a","376.6","a","589.8","a","59,150.1","a","2.0","a","1.9","e"
"Nevada","166.8","a","724.4","a","891.2","a","47,966.9","a","1.3","a","2.8","e"
"New Hampshire","168.8","a","490.6","a","659.4","a","54,254.8","a","1.1","a","1.3","e"
"New Jersey","265.6","a","523.7","a","789.3","a","61,671.2","a","0.5","a","8.9","e"
"New Mexico","275.9","a","521.6","a","797.5","a","44,258.2","a","3.2","a","2.1","e"
"New York","209.4","a","803.0","a","1,012.3","a","72,642.6","a","2.3","a","19.7","e"
"North Carolina","188.4","a","407.0","a","595.5","a","47,921.1","a","2.2","a","9.9","e"
"North Dakota","186.2","a","335.7","a","521.8","a","79,536.1","a","7.6","a","0.7","e"
"Ohio","163.3","a","464.6","a","627.9","a","51,139.4","a","3.8","a","11.6","e"
"Oklahoma","215.7","a","394.6","a","610.2","a","50,287.1","a","5.7","a","3.9","e"
"Oregon","272.2","a","562.2","a","834.4","a","47,658.0","a","3.4","a","4.0","e"
"Pennsylvania","245.0","a","377.7","a","622.7","a","54,048.5","a","2.3","a","12.8","e"
"Rhode Island","278.2","a","611.3","a","889.6","a","51,543.9","a","0.1","a","1.1","e"
"South Carolina","146.7","a","347.9","a","494.7","a","39,791.3","a","2.6","a","4.8","e"
"South Dakota","220.6","a","299.6","a","520.1","a","54,227.9","a","1.3","a","0.8","e"
"Tennessee","145.0","a","429.6","a","574.5","a","46,445.3","a","1.7","a","6.5","e"
"Texas","179.0","a","420.8","a","599.8","a","58,329.7","a","3.5","a","27.0","e"
"All states combined","220.0","a","516.0","a","735.9","a","55,065.2","a","2.5","a","318.3","e"
"Utah","187.6","a","364.0","a","551.7","a","48,098.7","a","3.2","a","2.9","e"
"Vermont","462.2","a","254.9","a","717.1","a","47,505.8","a","0.1","a","0.6","e"
"Virginia","213.1","a","533.4","a","746.4","a","55,766.9","a","-0.2","a","8.3","e"
"Washington","239.2","a","503.1","a","742.3","a","62,682.1","a","3.6","a","7.1","e"
"West Virginia","258.8","a","244.5","a","503.2","a","38,886.0","a","-0.4","a","1.8","e"
"Wisconsin","232.7","a","495.0","a","727.7","a","51,096.9","a","2.1","a","5.8","e"
"Wyoming","366.7","a","577.7","a","944.3","a","67,697.9","a","0.6","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
