""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2016"
"Amounts in $ per capita"
"Education"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,214.3","a","1,602.0","a","2,816.3","a","41,910.0","a","0.7","a","4.9","e"
"Alaska","2,190.7","a","2,649.2","a","4,839.9","a","66,576.3","a","-2.0","a","0.7","e"
"Arizona","782.3","a","1,337.1","a","2,119.5","a","44,818.9","a","3.2","a","6.9","e"
"Arkansas","1,094.8","a","1,733.5","a","2,828.3","a","40,260.3","a","0.6","a","3.0","e"
"California","888.7","a","2,331.7","a","3,220.4","a","67,858.0","a","3.0","a","39.2","e"
"Colorado","1,214.2","a","1,786.3","a","3,000.5","a","59,461.1","a","2.4","a","5.5","e"
"Connecticut","1,177.6","a","2,682.7","a","3,860.3","a","73,696.4","a","-0.0","a","3.6","e"
"Delaware","1,830.0","a","2,099.7","a","3,929.8","a","73,293.5","a","-4.2","a","0.9","e"
"District of Columbia","0.0","a","4,142.5","a","4,142.5","a","189,301.8","a","2.0","a","0.7","e"
"Florida","542.7","a","1,498.1","a","2,040.8","a","45,541.7","a","3.3","a","20.6","e"
"Georgia","758.0","a","1,857.3","a","2,615.3","a","52,371.4","a","3.5","a","10.3","e"
"Hawaii","2,399.1","a","0.0","a","2,399.1","a","60,133.2","a","2.2","a","1.4","e"
"Idaho","701.3","a","1,328.9","a","2,030.2","a","41,030.8","a","3.9","a","1.7","e"
"Illinois","629.8","a","2,365.5","a","2,995.3","a","62,892.7","a","0.4","a","12.8","e"
"Indiana","1,135.1","a","1,561.9","a","2,697.1","a","50,966.3","a","1.6","a","6.6","e"
"Iowa","1,109.3","a","2,450.7","a","3,560.0","a","57,338.2","a","-0.3","a","3.1","e"
"Kansas","1,010.9","a","2,257.6","a","3,268.5","a","53,887.2","a","2.6","a","2.9","e"
"Kentucky","1,378.8","a","1,482.5","a","2,861.2","a","44,014.0","a","0.7","a","4.4","e"
"Louisiana","937.9","a","1,735.1","a","2,673.0","a","48,572.1","a","-1.8","a","4.7","e"
"Maine","766.1","a","1,832.4","a","2,598.4","a","44,883.2","a","2.2","a","1.3","e"
"Maryland","975.4","a","2,393.8","a","3,369.2","a","64,112.7","a","3.4","a","6.0","e"
"Massachusetts","982.9","a","2,283.8","a","3,266.7","a","76,119.2","a","1.7","a","6.8","e"
"Michigan","1,131.4","a","1,921.7","a","3,053.1","a","49,421.7","a","2.2","a","10.0","e"
"Minnesota","1,089.4","a","2,259.1","a","3,348.4","a","61,400.7","a","1.9","a","5.5","e"
"Mississippi","995.3","a","1,789.3","a","2,784.6","a","35,843.1","a","0.4","a","3.0","e"
"Missouri","675.0","a","1,846.7","a","2,521.7","a","48,887.2","a","-0.4","a","6.1","e"
"Montana","965.1","a","1,829.3","a","2,794.4","a","43,673.4","a","-1.4","a","1.0","e"
"Nebraska","1,179.7","a","2,635.2","a","3,814.9","a","60,974.4","a","0.4","a","1.9","e"
"Nevada","648.1","a","1,472.2","a","2,120.4","a","51,829.3","a","2.9","a","2.9","e"
"New Hampshire","900.5","a","2,217.1","a","3,117.6","a","58,464.8","a","1.8","a","1.3","e"
"New Jersey","1,217.2","a","2,924.0","a","4,141.2","a","65,656.5","a","0.9","a","8.9","e"
"New Mexico","1,279.2","a","1,930.3","a","3,209.5","a","43,527.6","a","0.1","a","2.1","e"
"New York","657.2","a","3,597.4","a","4,254.6","a","78,415.4","a","1.3","a","19.6","e"
"North Carolina","992.7","a","1,574.4","a","2,567.1","a","51,120.8","a","1.2","a","10.2","e"
"North Dakota","1,789.8","a","2,504.0","a","4,293.7","a","67,379.1","a","-7.0","a","0.8","e"
"Ohio","879.3","a","2,094.6","a","2,974.0","a","53,533.9","a","0.8","a","11.6","e"
"Oklahoma","1,186.2","a","1,537.3","a","2,723.5","a","45,567.5","a","-3.0","a","3.9","e"
"Oregon","1,220.7","a","2,105.7","a","3,326.4","a","52,579.7","a","4.7","a","4.1","e"
"Pennsylvania","954.2","a","2,313.2","a","3,267.4","a","56,810.1","a","1.3","a","12.8","e"
"Rhode Island","927.1","a","2,270.7","a","3,197.8","a","54,594.6","a","-0.0","a","1.1","e"
"South Carolina","1,150.4","a","1,766.9","a","2,917.3","a","42,958.5","a","2.9","a","5.0","e"
"South Dakota","1,030.2","a","1,850.5","a","2,880.7","a","56,322.5","a","0.5","a","0.9","e"
"Tennessee","707.6","a","1,406.5","a","2,114.2","a","50,410.1","a","2.1","a","6.6","e"
"Texas","928.2","a","2,078.3","a","3,006.5","a","56,086.8","a","0.2","a","27.9","e"
"All states combined","941.6","a","2,108.7","a","3,050.3","a","57,951.8","a","1.6","a","322.9","e"
"Utah","1,552.8","a","1,615.4","a","3,168.3","a","51,903.3","a","4.0","a","3.0","e"
"Vermont","1,838.2","a","2,609.2","a","4,447.4","a","50,763.5","a","1.6","a","0.6","e"
"Virginia","1,061.0","a","2,016.1","a","3,077.0","a","58,724.3","a","0.4","a","8.4","e"
"Washington","1,165.3","a","2,102.9","a","3,268.2","a","67,357.6","a","3.5","a","7.3","e"
"West Virginia","1,240.0","a","1,716.9","a","2,957.0","a","38,077.9","a","-1.2","a","1.8","e"
"Wisconsin","950.5","a","2,236.3","a","3,186.9","a","54,313.5","a","1.2","a","5.8","e"
"Wyoming","1,405.2","a","4,039.7","a","5,444.9","a","61,176.6","a","-4.2","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
