""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2015"
"Amounts in $ per capita"
"Health Care"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,696.7","a","820.1","a","2,516.7","a","41,300.2","a","1.3","a","4.9","e"
"Alaska","2,432.1","a","659.3","a","3,091.4","a","68,666.8","a","1.0","a","0.7","e"
"Arizona","1,158.5","a","174.4","a","1,332.9","a","43,507.3","a","2.4","a","6.8","e"
"Arkansas","2,384.9","a","85.7","a","2,470.6","a","39,878.8","a","0.8","a","3.0","e"
"California","2,361.8","a","849.9","a","3,211.7","a","65,619.3","a","5.0","a","38.9","e"
"Colorado","1,382.2","a","338.1","a","1,720.3","a","58,443.8","a","4.6","a","5.5","e"
"Connecticut","1,291.5","a","40.5","a","1,332.0","a","72,501.9","a","2.2","a","3.6","e"
"Delaware","2,558.1","a","41.1","a","2,599.2","a","75,398.9","a","3.7","a","0.9","e"
"District of Columbia","0.0","a","5,109.0","a","5,109.0","a","185,389.4","a","2.0","a","0.7","e"
"Florida","1,415.7","a","440.6","a","1,856.3","a","44,294.4","a","4.2","a","20.2","e"
"Georgia","1,224.2","a","490.2","a","1,714.4","a","50,456.5","a","3.4","a","10.2","e"
"Hawaii","2,273.5","a","24.1","a","2,297.7","a","58,162.5","a","3.6","a","1.4","e"
"Idaho","1,403.2","a","424.7","a","1,827.9","a","39,976.9","a","2.8","a","1.7","e"
"Illinois","1,582.2","a","225.6","a","1,807.8","a","61,669.3","a","1.3","a","12.9","e"
"Indiana","1,667.1","a","755.9","a","2,423.0","a","49,941.1","a","-0.7","a","6.6","e"
"Iowa","2,203.7","a","644.7","a","2,848.4","a","57,185.3","a","2.6","a","3.1","e"
"Kansas","1,720.1","a","395.0","a","2,115.1","a","52,380.0","a","1.9","a","2.9","e"
"Kentucky","2,658.7","a","229.3","a","2,888.0","a","43,362.8","a","0.7","a","4.4","e"
"Louisiana","1,804.8","a","592.0","a","2,396.9","a","50,228.8","a","-0.5","a","4.7","e"
"Maine","1,819.5","a","97.2","a","1,916.7","a","43,309.1","a","0.7","a","1.3","e"
"Maryland","1,914.5","a","87.9","a","2,002.4","a","61,330.3","a","1.9","a","6.0","e"
"Massachusetts","2,874.3","a","142.0","a","3,016.2","a","74,012.5","a","3.8","a","6.8","e"
"Michigan","1,779.9","a","435.3","a","2,215.2","a","47,756.2","a","2.5","a","9.9","e"
"Minnesota","2,099.6","a","460.8","a","2,560.3","a","60,104.2","a","1.2","a","5.5","e"
"Mississippi","2,300.2","a","833.7","a","3,133.9","a","35,430.5","a","0.1","a","3.0","e"
"Missouri","1,922.3","a","360.4","a","2,282.6","a","48,552.1","a","1.3","a","6.1","e"
"Montana","1,578.6","a","224.3","a","1,802.8","a","44,787.8","a","3.9","a","1.0","e"
"Nebraska","1,203.8","a","450.7","a","1,654.5","a","60,978.8","a","2.9","a","1.9","e"
"Nevada","1,090.0","a","284.4","a","1,374.5","a","50,308.7","a","4.2","a","2.9","e"
"New Hampshire","1,100.2","a","19.4","a","1,119.6","a","56,896.2","a","2.8","a","1.3","e"
"New Jersey","1,851.7","a","81.6","a","1,933.3","a","64,240.3","a","1.8","a","8.9","e"
"New Mexico","3,445.4","a","158.2","a","3,603.6","a","43,540.6","a","2.2","a","2.1","e"
"New York","2,882.7","a","692.7","a","3,575.4","a","75,694.4","a","1.7","a","19.7","e"
"North Carolina","1,506.0","a","1,025.8","a","2,531.8","a","50,204.3","a","3.2","a","10.0","e"
"North Dakota","1,767.7","a","76.7","a","1,844.4","a","72,954.1","a","-2.9","a","0.8","e"
"Ohio","2,265.1","a","348.7","a","2,613.8","a","52,573.4","a","1.5","a","11.6","e"
"Oklahoma","1,668.1","a","291.0","a","1,959.1","a","47,560.3","a","4.3","a","3.9","e"
"Oregon","2,257.3","a","301.6","a","2,558.9","a","50,590.0","a","5.6","a","4.0","e"
"Pennsylvania","2,005.0","a","294.4","a","2,299.5","a","55,629.0","a","2.2","a","12.8","e"
"Rhode Island","2,734.9","a","19.1","a","2,753.9","a","53,746.4","a","1.8","a","1.1","e"
"South Carolina","1,891.3","a","938.2","a","2,829.5","a","41,685.1","a","3.5","a","4.9","e"
"South Dakota","1,085.4","a","137.3","a","1,222.7","a","55,916.8","a","2.9","a","0.9","e"
"Tennessee","1,539.3","a","507.0","a","2,046.3","a","48,954.0","a","3.4","a","6.6","e"
"Texas","1,458.4","a","479.3","a","1,937.7","a","57,097.0","a","4.8","a","27.5","e"
"All states combined","1,898.9","a","481.2","a","2,380.1","a","56,839.7","a","2.9","a","320.6","e"
"Utah","1,462.1","a","108.4","a","1,570.5","a","50,093.9","a","4.1","a","3.0","e"
"Vermont","2,347.3","a","15.6","a","2,363.0","a","49,150.4","a","1.3","a","0.6","e"
"Virginia","1,639.2","a","195.8","a","1,835.0","a","57,908.2","a","2.0","a","8.4","e"
"Washington","2,006.8","a","549.8","a","2,556.6","a","65,654.8","a","4.4","a","7.2","e"
"West Virginia","2,234.5","a","189.4","a","2,423.9","a","38,153.7","a","-0.2","a","1.8","e"
"Wisconsin","1,924.8","a","249.3","a","2,174.1","a","53,084.4","a","1.8","a","5.8","e"
"Wyoming","1,666.5","a","2,018.5","a","3,685.0","a","64,413.7","a","2.6","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
