""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2017"
"Amounts in $ per capita"
"Protection"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","157.5","a","385.4","a","542.8","a","43,156.1","a","1.2","a","4.9","e"
"Alaska","621.3","a","686.4","a","1,307.7","a","70,032.6","a","0.0","a","0.7","e"
"Arizona","198.3","a","588.1","a","786.5","a","46,492.8","a","3.5","a","7.0","e"
"Arkansas","174.3","a","352.6","a","526.9","a","41,109.3","a","0.7","a","3.0","e"
"California","327.4","a","854.3","a","1,181.7","a","71,626.5","a","4.4","a","39.4","e"
"Colorado","208.4","a","569.9","a","778.3","a","62,368.4","a","4.0","a","5.6","e"
"Connecticut","257.7","a","450.2","a","707.9","a","75,087.5","a","0.4","a","3.6","e"
"Delaware","546.0","a","304.0","a","850.0","a","73,968.5","a","-0.6","a","1.0","e"
"District of Columbia","0.0","a","1,697.2","a","1,697.2","a","192,893.7","a","1.2","a","0.7","e"
"Florida","164.8","a","688.7","a","853.5","a","47,017.9","a","3.4","a","21.0","e"
"Georgia","170.4","a","423.2","a","593.6","a","54,414.8","a","3.7","a","10.4","e"
"Hawaii","229.7","a","491.4","a","721.2","a","62,784.0","a","2.3","a","1.4","e"
"Idaho","220.7","a","451.7","a","672.4","a","42,337.1","a","3.5","a","1.7","e"
"Illinois","151.5","a","654.9","a","806.4","a","64,702.3","a","0.9","a","12.8","e"
"Indiana","148.1","a","382.0","a","530.1","a","52,733.8","a","1.9","a","6.7","e"
"Iowa","144.4","a","374.0","a","518.4","a","57,884.2","a","-0.3","a","3.1","e"
"Kansas","166.5","a","470.8","a","637.3","a","55,426.4","a","1.0","a","2.9","e"
"Kentucky","219.9","a","293.3","a","513.2","a","45,081.5","a","1.1","a","4.5","e"
"Louisiana","171.9","a","579.2","a","751.1","a","51,215.3","a","1.4","a","4.7","e"
"Maine","216.8","a","371.5","a","588.3","a","46,485.7","a","2.2","a","1.3","e"
"Maryland","371.0","a","637.9","a","1,008.9","a","65,449.5","a","0.9","a","6.0","e"
"Massachusetts","276.7","a","472.4","a","749.1","a","78,834.2","a","2.5","a","6.9","e"
"Michigan","263.6","a","385.0","a","648.6","a","50,692.4","a","1.5","a","10.0","e"
"Minnesota","169.9","a","500.8","a","670.7","a","63,133.8","a","1.9","a","5.6","e"
"Mississippi","176.1","a","376.9","a","553.0","a","36,882.3","a","0.9","a","3.0","e"
"Missouri","174.2","a","436.0","a","610.3","a","49,936.5","a","1.0","a","6.1","e"
"Montana","264.8","a","449.0","a","713.8","a","45,187.7","a","1.7","a","1.1","e"
"Nebraska","244.3","a","433.5","a","677.8","a","62,902.0","a","2.1","a","1.9","e"
"Nevada","166.6","a","768.8","a","935.4","a","53,486.0","a","3.2","a","3.0","e"
"New Hampshire","197.0","a","516.0","a","713.1","a","59,979.8","a","1.8","a","1.3","e"
"New Jersey","260.2","a","546.7","a","806.9","a","66,999.3","a","0.7","a","8.9","e"
"New Mexico","321.1","a","545.3","a","866.4","a","45,065.5","a","0.1","a","2.1","e"
"New York","223.3","a","889.0","a","1,112.3","a","81,886.8","a","2.1","a","19.6","e"
"North Carolina","208.6","a","427.5","a","636.1","a","52,433.9","a","2.1","a","10.3","e"
"North Dakota","222.4","a","607.0","a","829.4","a","69,505.1","a","-0.0","a","0.8","e"
"Ohio","177.1","a","524.4","a","701.5","a","55,347.2","a","1.6","a","11.7","e"
"Oklahoma","223.5","a","405.4","a","628.9","a","47,914.7","a","0.8","a","3.9","e"
"Oregon","293.9","a","630.5","a","924.4","a","54,691.1","a","3.8","a","4.1","e"
"Pennsylvania","275.4","a","417.5","a","692.9","a","58,204.0","a","0.6","a","12.8","e"
"Rhode Island","303.5","a","670.0","a","973.4","a","55,421.0","a","-0.2","a","1.1","e"
"South Carolina","149.6","a","400.3","a","549.9","a","44,433.2","a","3.3","a","5.0","e"
"South Dakota","224.6","a","344.1","a","568.7","a","56,983.1","a","-0.1","a","0.9","e"
"Tennessee","143.9","a","449.9","a","593.9","a","51,566.6","a","1.9","a","6.7","e"
"Texas","196.4","a","468.5","a","664.8","a","58,866.0","a","2.9","a","28.3","e"
"All states combined","224.2","a","569.6","a","793.8","a","60,062.3","a","2.4","a","325.0","e"
"Utah","187.0","a","361.9","a","548.9","a","53,935.1","a","3.9","a","3.1","e"
"Vermont","467.5","a","301.4","a","768.9","a","51,589.8","a","0.1","a","0.6","e"
"Virginia","240.3","a","565.1","a","805.4","a","60,184.0","a","1.8","a","8.5","e"
"Washington","227.0","a","571.1","a","798.1","a","70,697.8","a","5.2","a","7.4","e"
"West Virginia","244.1","a","270.4","a","514.5","a","40,265.8","a","1.5","a","1.8","e"
"Wisconsin","202.1","a","545.0","a","747.2","a","55,609.2","a","1.3","a","5.8","e"
"Wyoming","353.1","a","619.6","a","972.7","a","64,694.4","a","-0.1","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
