""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2013"
"Amounts in $ per capita"
"Education"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1,454.8","a","1,561.6","a","3,016.4","a","39,643.4","a","1.0","a","4.8","e"
"Alaska","2,198.1","a","2,779.4","a","4,977.5","a","76,821.7","a","-5.1","a","0.7","e"
"Arizona","826.2","a","1,366.8","a","2,193.0","a","41,490.9","a","0.7","a","6.6","e"
"Arkansas","1,079.2","a","1,693.0","a","2,772.2","a","38,606.5","a","2.8","a","3.0","e"
"California","798.2","a","1,949.8","a","2,748.0","a","59,140.7","a","3.6","a","38.3","e"
"Colorado","984.0","a","1,625.2","a","2,609.2","a","54,716.8","a","3.3","a","5.3","e"
"Connecticut","927.8","a","2,447.5","a","3,375.3","a","68,607.2","a","-1.1","a","3.6","e"
"Delaware","1,775.8","a","2,046.3","a","3,822.1","a","65,686.1","a","-4.5","a","0.9","e"
"District of Columbia","0.0","a","3,974.9","a","3,974.9","a","176,597.5","a","-0.1","a","0.7","e"
"Florida","511.4","a","1,435.2","a","1,946.7","a","40,965.9","a","1.9","a","19.5","e"
"Georgia","889.8","a","1,730.6","a","2,620.3","a","46,185.6","a","1.5","a","10.0","e"
"Hawaii","2,428.2","a","0.0","a","2,428.2","a","53,817.7","a","0.9","a","1.4","e"
"Idaho","692.7","a","1,297.9","a","1,990.6","a","37,870.7","a","3.6","a","1.6","e"
"Illinois","638.3","a","2,198.3","a","2,836.6","a","57,357.3","a","0.5","a","12.9","e"
"Indiana","1,045.5","a","1,525.4","a","2,570.9","a","46,992.8","a","2.1","a","6.6","e"
"Iowa","1,026.2","a","2,242.4","a","3,268.5","a","51,826.7","a","-0.4","a","3.1","e"
"Kansas","882.1","a","2,077.4","a","2,959.5","a","49,502.5","a","0.0","a","2.9","e"
"Kentucky","1,207.7","a","1,444.1","a","2,651.8","a","41,401.4","a","1.8","a","4.4","e"
"Louisiana","837.2","a","1,677.4","a","2,514.6","a","49,511.4","a","-3.0","a","4.6","e"
"Maine","738.1","a","1,706.8","a","2,444.9","a","40,450.7","a","-0.7","a","1.3","e"
"Maryland","863.2","a","2,284.0","a","3,147.3","a","57,613.4","a","0.0","a","5.9","e"
"Massachusetts","907.9","a","2,249.9","a","3,157.8","a","67,678.3","a","0.1","a","6.7","e"
"Michigan","1,005.2","a","1,851.3","a","2,856.5","a","43,651.3","a","1.3","a","9.9","e"
"Minnesota","1,045.9","a","1,952.2","a","2,998.0","a","56,553.8","a","2.2","a","5.4","e"
"Mississippi","780.9","a","1,686.1","a","2,467.0","a","34,007.3","a","0.0","a","3.0","e"
"Missouri","634.4","a","1,782.7","a","2,417.1","a","45,996.3","a","1.2","a","6.0","e"
"Montana","854.0","a","1,699.2","a","2,553.2","a","42,563.4","a","1.0","a","1.0","e"
"Nebraska","991.9","a","2,273.3","a","3,265.2","a","57,687.9","a","2.7","a","1.9","e"
"Nevada","556.5","a","1,416.3","a","1,972.7","a","47,054.2","a","0.2","a","2.8","e"
"New Hampshire","785.0","a","2,064.0","a","2,848.9","a","52,902.8","a","1.6","a","1.3","e"
"New Jersey","1,005.7","a","2,733.5","a","3,739.2","a","60,256.2","a","0.7","a","8.9","e"
"New Mexico","1,151.3","a","1,822.3","a","2,973.7","a","42,256.1","a","-1.3","a","2.1","e"
"New York","625.6","a","3,212.4","a","3,838.0","a","69,076.3","a","-0.2","a","19.6","e"
"North Carolina","945.7","a","1,530.2","a","2,475.9","a","46,277.2","a","1.3","a","9.8","e"
"North Dakota","1,516.0","a","2,016.0","a","3,532.0","a","74,624.7","a","2.3","a","0.7","e"
"Ohio","937.2","a","1,945.2","a","2,882.4","a","48,463.4","a","1.8","a","11.6","e"
"Oklahoma","995.6","a","1,504.1","a","2,499.8","a","47,393.7","a","2.4","a","3.9","e"
"Oregon","1,078.1","a","1,815.7","a","2,893.8","a","45,732.2","a","0.8","a","3.9","e"
"Pennsylvania","831.5","a","2,135.8","a","2,967.3","a","51,963.5","a","1.6","a","12.8","e"
"Rhode Island","872.6","a","2,134.9","a","3,007.5","a","50,432.1","a","0.9","a","1.1","e"
"South Carolina","1,061.3","a","1,636.9","a","2,698.2","a","38,415.6","a","2.0","a","4.8","e"
"South Dakota","837.8","a","1,642.6","a","2,480.4","a","53,204.4","a","0.4","a","0.8","e"
"Tennessee","719.0","a","1,384.4","a","2,103.5","a","45,086.0","a","1.1","a","6.5","e"
"Texas","852.0","a","1,876.0","a","2,727.9","a","56,730.9","a","4.3","a","26.5","e"
"All states combined","877.6","a","1,939.3","a","2,816.9","a","53,117.8","a","1.8","a","316.0","e"
"Utah","1,329.3","a","1,576.0","a","2,905.4","a","46,331.5","a","2.5","a","2.9","e"
"Vermont","1,567.6","a","2,465.4","a","4,032.9","a","46,468.1","a","-1.3","a","0.6","e"
"Virginia","1,021.2","a","1,940.9","a","2,962.2","a","55,143.8","a","0.4","a","8.3","e"
"Washington","1,091.8","a","1,732.3","a","2,824.1","a","60,216.3","a","2.6","a","7.0","e"
"West Virginia","1,250.9","a","1,729.0","a","2,979.9","a","38,317.7","a","1.1","a","1.9","e"
"Wisconsin","917.1","a","2,068.0","a","2,985.1","a","49,223.9","a","0.7","a","5.7","e"
"Wyoming","1,220.2","a","3,328.1","a","4,548.4","a","66,863.1","a","0.2","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
