,victim_age,victim_gender,victim_race,City,State,criminal_charges,victim_armed,alleged_weapon,victim_fleeing,year
6177,41,Male,black,Spartanburg,SC,No known charges,Allegedly Armed,knife,not fleeing,2015
2363,29,Male,black,Newark,NJ,No known charges,Vehicle,vehicle,car,2018
2364,37,Male,black,Newark,NJ,No known charges,Allegedly Armed,gun,,2018
5686,28,Male,black,Wilmington,DE,No known charges,Allegedly Armed,gun,not fleeing,2015
2366,34,Male,black,Orlando,FL,No known charges,Allegedly Armed,gun,not fleeing,2018
5685,19,Male,black,Reisterstown,MD,No known charges,Unarmed,no object,foot,2015
5683,48,Male,black,Salt Lake City,UT,No known charges,Allegedly Armed,knife,not fleeing,2015
5681,42,Male,black,Miami,FL,No known charges,Allegedly Armed,knife,not fleeing,2015
2370,29,Male,black,Baltimore,MD,No known charges,Allegedly Armed,gun,not fleeing,2018
5676,33,Male,black,Chicago,IL,No known charges,Allegedly Armed,box cutter,not fleeing,2015
5674,46,Male,black,Baton Rouge,LA,No known charges,Allegedly Armed,knife,not fleeing,2015
5670,31,Male,black,North Miami,FL,No known charges,Unarmed,no object,foot,2015
5666,28,Male,black,Beckley,WV,No known charges,Allegedly Armed,gun,car,2015
5658,31,Male,black,Chicago,IL,No known charges,Allegedly Armed,gun,not fleeing,2015
2393,31,Male,black,Shreveport,LA,No known charges,Allegedly Armed,gun,not fleeing,2018
5643,23,Male,black,Taylors ,SC,No known charges,Allegedly Armed,gun,not fleeing,2015
5691,32,Male,black,Haywood,CA,No known charges,Allegedly Armed,gun,car,2015
5641,40,Male,black,Lawton,OK,No known charges,Allegedly Armed,gun,not fleeing,2015
2358,41,Male,black,Palatka,FL,No known charges,Allegedly Armed,gun,not fleeing,2018
2355,23,Male,black,Houston,TX,No known charges,Allegedly Armed,gun,,2018
2328,31,Male,black,Milwaukee,WI,No known charges,Allegedly Armed,gun,not fleeing,2018
5742,28,Female,black,Virginia Beach,VA,No known charges,Unarmed,no object,not fleeing,2015
5739,21,Male,black,Durham,NC,No known charges,Unarmed,toy weapon,not fleeing,2015
5735,41,Male,black,Detroit,MI,No known charges,Unarmed,no object,,2015
5729,37,Male,black,Kansas City,MO,No known charges,Allegedly Armed,gun,not fleeing,2015
