,victim_age,victim_gender,victim_race,City,State,criminal_charges,victim_armed,alleged_weapon,victim_fleeing,year
2339,31,Male,black,Nashville,TN,No known charges,Allegedly Armed,gun,not fleeing,2018
2341,45,Male,black,Scarbro,WV,No known charges,Allegedly Armed,gun,not fleeing,2018
2343,38,Male,black,Memphis,TN,No known charges,Allegedly Armed,gun,not fleeing,2018
2344,36,Male,black,Millbrae,CA,No known charges,Unarmed,no object,,2018
2345,36,Female,black,Victorville,CA,No known charges,Vehicle,vehicle,not fleeing,2018
5722,29,Male,black,Indianapolis,IN,No known charges,Allegedly Armed,gun,not fleeing,2015
5716,67,Male,black,Pond Creek,OK,No known charges,Allegedly Armed,gun,not fleeing,2015
2350,27,Male,black,Portland,OR,No known charges,Allegedly Armed,gun,,2018
5713,25,Male,black,Eddyville,KY,No known charges,Allegedly Armed,gun,car,2015
5712,21,Male,black,Chalmette,LA,No known charges,Allegedly Armed,railroad spike,not fleeing,2015
5709,27,Male,black,Alexandria,LA,No known charges,Allegedly Armed,gun,not fleeing,2015
2399,19,Male,black,Greensboro,MD,No known charges,Unarmed,no object,,2018
5636,57,Male,black,Evergreen,AL,No known charges,Allegedly Armed,gun,not fleeing,2015
2402,53,Male,black,Dover,NC,No known charges,Allegedly Armed,gun,not fleeing,2018
5602,38,Male,black,Shreveport,LA,No known charges,Allegedly Armed,knife,not fleeing,2015
5601,36,Male,black,Carmichael,CA,No known charges,Allegedly Armed,gun,car,2015
5600,18,Male,black,Midwest City,OK,No known charges,Allegedly Armed,gun,not fleeing,2015
5598,34,Male,black,Cape Coral,FL,No known charges,Allegedly Armed,gun,not fleeing,2015
2442,17,Male,black,Houston,TX,No known charges,Vehicle,vehicle,car,2018
5594,30,Male,black,Cathedral City,CA,No known charges,Unarmed,binoculars,not fleeing,2015
5590,21,Female,black,Washington,DC,No known charges,Allegedly Armed,gun,not fleeing,2015
2445,50,Male,black,Harbeson,DE,No known charges,Allegedly Armed,gun,not fleeing,2018
5588,45,Male,black,Frederick,MD,No known charges,Vehicle,vehicle,not fleeing,2015
5587,25,Male,black,Savannah,GA,No known charges,Allegedly Armed,gun,not fleeing,2015
5585,34,Male,black,Jacksonville,FL,No known charges,Allegedly Armed,gun,not fleeing,2015
5584,29,Male,black,San Diego,CA,No known charges,Unarmed,no object,not fleeing,2015
5579,25,Male,black,Columbus,OH,No known charges,Allegedly Armed,gun,not fleeing,2015
5576,25,Male,black,Houston,TX,No known charges,Allegedly Armed,gun,foot,2015
5575,20,Male,black,Houston,TX,No known charges,Allegedly Armed,unknown weapon,,2015
2436,24,Male,black,Arlington,TX,Charged,Vehicle,vehicle,car,2018
2433,21,Male,black,Covington,GA,No known charges,Allegedly Armed,gun,foot,2018
5613,39,Male,black,San Diego,CA,No known charges,Unarmed,toy weapon,not fleeing,2015
5614,53,Male,black,Los Angeles,CA,No known charges,Vehicle,vehicle,not fleeing,2015
5630,25,Male,black,Columbus,OH,No known charges,Allegedly Armed,gun,not fleeing,2015
2406,46,Male,black,Detroit,MI,No known charges,Allegedly Armed,gun,not fleeing,2018
2407,23,Male,black,Fort Worth,TX,No known charges,Allegedly Armed,gun,,2018
5628,20,Male,black,Houston,TX,No known charges,Allegedly Armed,gun,not fleeing,2015
2411,38,Male,black,Gary,IN,No known charges,Allegedly Armed,gun,not fleeing,2018
5624,33,Male,black,Columbus,MS,Charged,Unclear,undetermined,foot,2015
5621,30,Male,black,Chula Vista,CA,No known charges,Unarmed,no object,,2015
5743,35,Male,black,Virginia Beach,VA,No known charges,Allegedly Armed,gun,not fleeing,2015
2416,39,Female,black,Missouri City,TX,No known charges,Allegedly Armed,gun,not fleeing,2018
2420,28,Male,black,Pawtucket,RI,No known charges,Allegedly Armed,gun,,2018
5620,18,Male,black,Richmond,VA,Charged,Unarmed,no object,,2015
5619,28,Male,black,York,PA,No known charges,Allegedly Armed,knife,not fleeing,2015
5618,31,Male,black,Palm Beach,FL,Charged,Allegedly Armed,gun,not fleeing,2015
2426,19,Male,black,Sacramento,CA,No known charges,Unarmed,toy weapon,foot,2018
2427,26,Male,black,Dallas,TX,Charged,Unarmed,no object,not fleeing,2018
2428,23,Male,black,Hollywood,FL,No known charges,Unarmed,no object,not fleeing,2018
2418,24,Male,black,Greenville,NC,No known charges,Allegedly Armed,gun,not fleeing,2018
2324,47,Male,black,Rochester,NY,No known charges,Allegedly Armed,gun,car,2018
5753,33,Male,black,Bluefield,WV,No known charges,Allegedly Armed,gun,foot,2015
2322,22,Male,black,West Jordan,UT,No known charges,Allegedly Armed,knife,,2018
2227,25,Male,black,Augusta,GA,No known charges,Allegedly Armed,knife,not fleeing,2018
5851,49,Male,black,Oakland,CA,No known charges,Allegedly Armed,gun,not fleeing,2015
2232,22,Male,black,Fort Chiswell,VA,No known charges,Allegedly Armed,gun,not fleeing,2018
2234,24,Male,black,Glendale,AZ,No known charges,Unclear,unknown weapon,car,2018
5847,31,Male,black,Rantoul,IL,No known charges,Allegedly Armed,gun,not fleeing,2015
2236,47,Male,black,Oklahoma City,OK,No known charges,Allegedly Armed,gun,other,2018
5842,39,Male,black,Kahului,HI,No known charges,Allegedly Armed,gun,not fleeing,2015
5841,20,Male,black,Richmond,VA,No known charges,Allegedly Armed,gun,foot,2015
5840,22,Male,black,Orlando,FL,No known charges,Unclear,undetermined,,2015
5839,22,Male,black,El Paso,TX,No known charges,Allegedly Armed,gun,car,2015
2243,26,Male,black,Robbins,IL,No known charges,Allegedly Armed,gun,not fleeing,2018
2245,39,Male,black,Clarksdale,MS,No known charges,Allegedly Armed,gun,not fleeing,2018
5837,32,Male,black,Decatur,GA,No known charges,Unarmed,no object,,2015
5836,19,Male,black,Arlington,TX,No known charges,Unarmed,no object,not fleeing,2015
2249,36,Male,black,St. Paul,MN,No known charges,Unclear,unknown weapon,not fleeing,2018
2225,18,Male,black,Greenwood Village,CO,No known charges,Allegedly Armed,gun,not fleeing,2018
2222,27,Male,black,Fort Pierce,FL,No known charges,Vehicle,vehicle,car,2018
5865,37,Male,black,Baton Rouge,LA,No known charges,Allegedly Armed,gun,,2015
2217,33,Male,black,Magnolia,AR,No known charges,Vehicle,vehicle,not fleeing,2018
5916,20,Male,black,Mascotte,FL,No known charges,Allegedly Armed,gun,not fleeing,2015
5913,25,Male,black,Moreno Valley,CA,No known charges,Unclear,metal hand tool,not fleeing,2015
5910,35,Male,black,Homestead,FL,No known charges,Allegedly Armed,gun,not fleeing,2015
5906,19,Male,black,Memphis,TN,No known charges,Unarmed,no object,foot,2015
5904,23,Male,black,Orlando,FL,No known charges,Unarmed,no object,foot,2015
2198,35,Male,black,Topeka,KS,No known charges,Vehicle,vehicle,car,2018
5896,43,Male,black,Cincinnati,OH,Charged,Unarmed,no object,car,2015
5834,25,Male,black,Greenville,NC,No known charges,Allegedly Armed,gun,not fleeing,2015
2205,23,Male,black,Detroit,MI,No known charges,Unclear,undetermined,not fleeing,2018
5887,26,Male,black,Oklahoma City,OK,No known charges,Allegedly Armed,knife,other,2015
5886,27,Male,black,Philadelphia,PA,No known charges,Allegedly Armed,gun,not fleeing,2015
2210,48,Male,black,Talladega,AL,No known charges,Allegedly Armed,gun,not fleeing,2018
5884,34,Male,black,Dayton,OH,No known charges,Allegedly Armed,gun,not fleeing,2015
5876,36,Male,black,Las Vegas,NV,No known charges,Unarmed,toy weapon,not fleeing,2015
5874,59,Male,black,Micanopy,FL,No known charges,Allegedly Armed,gun,not fleeing,2015
5873,33,Male,black,Shreveport,LA,No known charges,Allegedly Armed,gun,not fleeing,2015
2207,21,Male,black,Birmingham,AL,No known charges,Allegedly Armed,gun,not fleeing,2018
5573,56,Male,black,Opelika,AL,No known charges,Allegedly Armed,gun,car,2015
5832,28,Male,black,Long Beach,CA,No known charges,Allegedly Armed,knife,not fleeing,2015
5823,15,Male,black,Indianapolis,IN,No known charges,Vehicle,vehicle,not fleeing,2015
5783,39,Male,black,Troy,NY,No known charges,Allegedly Armed,gun,foot,2015
5781,53,Male,black,Archdale,NC,No known charges,Allegedly Armed,gun,not fleeing,2015
2295,21,Male,black,Miami Gardens,FL,No known charges,Vehicle,vehicle,car,2018
2297,63,Male,black,Monroe,GA,No known charges,Unarmed,toy weapon,not fleeing,2018
5773,34,Male,black,West Chester,PA,No known charges,Allegedly Armed,knife,not fleeing,2015
5768,30,Male,black,Oakland,CA,No known charges,Allegedly Armed,chain,not fleeing,2015
2301,19,Male,black,Vineland,NJ,No known charges,Unclear,undetermined,not fleeing,2018
5767,42,Male,black,Dallas,TX,No known charges,Allegedly Armed,box cutter,not fleeing,2015
2303,19,Male,black,Memphis,TN,No known charges,Allegedly Armed,gun,foot,2018
2305,18,Male,black,San Antonio,TX,No known charges,Unarmed,no object,not fleeing,2018
5765,61,Male,black,Mt. Vernon,NY,No known charges,Unarmed,no object,not fleeing,2015
5761,25,Male,black,North Las Vegas,NV,No known charges,Allegedly Armed,gun,foot,2015
2314,22,Male,black,Jeffersonville,OH,No known charges,Allegedly Armed,gun,not fleeing,2018
2315,27,Male,black,Fort Smith,AR,No known charges,Allegedly Armed,knife,not fleeing,2018
5755,48,Male,black,Cincinnati,OH,No known charges,Unarmed,no object,,2015
2289,27,Male,black,Washington,NC,No known charges,Allegedly Armed,gun,not fleeing,2018
5796,24,Male,black,Bloomfield Hills,MI,No known charges,Allegedly Armed,gun,car,2015
2286,18,Male,black,Snellville,GA,No known charges,Allegedly Armed,lawn mower blade,not fleeing,2018
5798,18,Male,black,St. Louis,MO,No known charges,Unclear,gun,foot,2015
5818,27,Male,black,Oakland,CA,No known charges,Allegedly Armed,gun,car,2015
2261,29,Male,black,St. Clair Shores,MI,No known charges,Allegedly Armed,gun,foot,2018
2263,33,Male,black,Danville,CA,No known charges,Vehicle,vehicle,not fleeing,2018
2265,35,Male,black,Idaho Falls,ID,No known charges,Unarmed,no object,foot,2018
5814,27,Male,black,Toledo,OH,No known charges,Allegedly Armed,gun,car,2015
2267,24,Male,black,Jacksonville,FL,No known charges,Allegedly Armed,gun,foot,2018
5813,30,Female,black,Los Angeles,CA,No known charges,Allegedly Armed,knife,not fleeing,2015
5829,24,Male,black,Summerville,SC,No known charges,Allegedly Armed,gun,car,2015
5812,30,Male,black,Spauldings,MD,No known charges,Unarmed,no object,foot,2015
2271,30,Male,black,Los Angeles,CA,No known charges,Allegedly Armed,Taser,not fleeing,2018
5807,23,Male,black,Sunnyvale,CA,No known charges,Allegedly Armed,gun,not fleeing,2015
2276,28,Male,black,Parkville,MD,No known charges,Vehicle,vehicle,car,2018
2277,30,Male,black,Kingwood,TX,No known charges,Allegedly Armed,gun,not fleeing,2018
2279,28,Male,black,St. Louis,MO,No known charges,Allegedly Armed,gun,not fleeing,2018
5804,34,Male,black,Inyokern,CA,No known charges,Allegedly Armed,gun,not fleeing,2015
5800,35,Male,black,Houston,TX,No known charges,Allegedly Armed,gun,not fleeing,2015
5811,38,Male,black,New York,NY,No known charges,Allegedly Armed,gun,not fleeing,2015
5571,27,Male,black,Washington,DC,No known charges,Unarmed,no object,,2015
2464,20,Male,black,Cincinnati,OH,No known charges,Allegedly Armed,gun,not fleeing,2018
2465,25,Male,black,Tulsa,OK,No known charges,Unarmed,no object,,2018
2639,19,Male,black,Phoenix,AZ,No known charges,Allegedly Armed,gun,not fleeing,2018
5310,29,Male,black,Chicago,IL,No known charges,Allegedly Armed,gun,not fleeing,2016
5303,37,Male,black,Pittsburgh,PA,No known charges,Allegedly Armed,knife,not fleeing,2016
5301,36,Male,black,Washington,DC,No known charges,Unarmed,toy weapon,foot,2016
2647,39,Male,black,Aurora,CO,No known charges,Allegedly Armed,gun,foot,2018
5293,36,Male,black,San Antonio,TX,No known charges,Unarmed,no object,not fleeing,2016
2653,30,Male,black,Minneapolis,MN,No known charges,Allegedly Armed,gun,foot,2018
5289,37,Male,black,Antioch,CA,No known charges,Unarmed,no object,not fleeing,2016
2656,25,Male,black,Monroe,LA,No known charges,Allegedly Armed,knife,not fleeing,2018
5280,23,Male,black,Columbus,OH,No known charges,Allegedly Armed,gun,other,2016
2662,32,Male,black,Atlantic City,NJ,No known charges,Allegedly Armed,knife,not fleeing,2018
5278,17,Male,black,Austin,TX,No known charges,Unarmed,no object,not fleeing,2016
5277,22,Male,black,New Orleans,LA,No known charges,Vehicle,vehicle,car,2016
2666,33,Male,black,Kingsland,GA,Charged,Unarmed,no object,foot,2018
2667,21,Male,black,Stone Mountain,GA,No known charges,Allegedly Armed,gun,not fleeing,2018
2638,,Male,black,Portland,OR,No known charges,Allegedly Armed,gun,,2018
2637,27,Male,black,Pomona,CA,No known charges,Allegedly Armed,knife,car,2018
5311,33,Male,black,Lynn,MA,No known charges,Allegedly Armed,gun,other,2016
5313,29,Male,black,Irving,TX,No known charges,Allegedly Armed,gun,not fleeing,2016
5388,23,Male,black,Las Vegas,NV,No known charges,Unarmed,no object,not fleeing,2015
5383,30,Male,black,Charlotte,NC,No known charges,Allegedly Armed,gun,not fleeing,2016
5382,22,Male,black,Oklahoma City,OK,No known charges,Allegedly Armed,gun,foot,2016
5381,27,Male,black,Ragley,LA,No known charges,Unclear,undetermined,not fleeing,2016
5380,33,Male,black,Charlotte,NC,No known charges,Allegedly Armed,gun,not fleeing,2016
5356,24,Male,black,Southfield,MI,No known charges,Allegedly Armed,gun,not fleeing,2016
5350,19,Male,black,Belle Glade,FL,No known charges,Allegedly Armed,gun,foot,2016
5276,33,Male,black,Chester,PA,No known charges,Allegedly Armed,gun,car,2016
5348,52,Male,black,St. Louis,MO,No known charges,Allegedly Armed,gun,not fleeing,2016
2618,43,Male,black,Overland Park,KS,No known charges,Allegedly Armed,gun,not fleeing,2018
5331,39,Male,black,Eufaula,OK,No known charges,Allegedly Armed,gun,car,2016
5324,32,Male,black,Memphis,TN,No known charges,Allegedly Armed,gun,other,2016
2628,33,Male,black,Chicago,IL,No known charges,Allegedly Armed,gun,,2018
5320,31,Female,black,Dearborn,MI,No known charges,Vehicle,vehicle,car,2016
2630,40,Male,black,Fayetteville,NC,No known charges,Allegedly Armed,knife,,2018
5314,19,Male,black,Oak Grove,OR,No known charges,Allegedly Armed,gun,not fleeing,2016
5333,40,Male,black,Port Barre,LA,No known charges,Allegedly Armed,gun,not fleeing,2016
2599,37,Male,black,Vineland,NJ,No known charges,Unarmed,no object,,2018
2670,17,Male,black,East Pittsburgh,PA,Charged,Unarmed,no object,foot,2018
5263,24,Male,black,Riverdale,GA,No known charges,Allegedly Armed,gun,foot,2016
5233,32,Male,black,Inglewood,CA,No known charges,Unclear,undetermined,not fleeing,2016
5232,31,Female,black,Inglewood,CA,No known charges,Allegedly Armed,gun,not fleeing,2016
2708,28,Male,black,Gary,IN,No known charges,Allegedly Armed,gun,not fleeing,2018
5225,37,Male,black,West Haven,CT,No known charges,Unarmed,no object,not fleeing,2016
5224,48,Male,black,Baton Rouge,LA,No known charges,Vehicle,vehicle,not fleeing,2016
2711,24,Male,black,Chicago,IL,No known charges,Allegedly Armed,gun,,2018
5220,21,Male,black,East Troy,WI,No known charges,Unarmed,no object,car,2016
5215,56,Male,black,Montgomery,AL,Charged,Unclear,Pole,not fleeing,2016
5213,38,Male,black,Hesston,KS,No known charges,Allegedly Armed,gun,not fleeing,2016
5210,18,Male,black,Cave Spring,VA,No known charges,Unarmed,toy weapon,not fleeing,2016
2721,43,Male,black,Chicago,IL,No known charges,Vehicle,vehicle,car,2018
2722,39,Male,black,Macon,GA,No known charges,Allegedly Armed,gun,,2018
5205,24,Male,black,Raleigh,NC,No known charges,Unclear,gun,foot,2016
2727,42,Male,black,Thomasville,NC,No known charges,Allegedly Armed,knife,car,2018
2730,23,Male,black,Homestead,FL,No known charges,Allegedly Armed,gun,not fleeing,2018
5234,46,Male,black,Seattle,WA,No known charges,Unclear,undetermined,not fleeing,2016
2701,36,Female,black,Deptford,NJ,No known charges,Vehicle,vehicle,car,2018
5238,41,Male,black,Lakewood,WA,No known charges,Allegedly Armed,gun,car,2016
2699,41,Male,black,Silver Spring,MD,No known charges,Unarmed,no object,not fleeing,2018
2673,33,Male,black,Trenton,NJ,No known charges,Allegedly Armed,gun,not fleeing,2018
5262,32,Female,black,Syracuse,NY,No known charges,Allegedly Armed,gun,not fleeing,2016
5261,29,Male,black,Boston,MA,No known charges,Allegedly Armed,gun,not fleeing,2016
2676,37,Male,black,Warwick,NY,No known charges,Allegedly Armed,knife,not fleeing,2018
5259,32,Male,black,College Park,GA,No known charges,Vehicle,vehicle,car,2016
5258,19,Male,black,Arvonia,VA,No known charges,Unarmed,no object,not fleeing,2016
5257,22,Male,black,Baton Rouge,LA,No known charges,Allegedly Armed,gun,car,2016
5264,30,Male,black,Columbus,OH,No known charges,Allegedly Armed,machete,car,2016
5256,24,Male,black,Beckville,TX,No known charges,Unarmed,no object,other,2016
5255,29,Male,black,Urbandale,IA,No known charges,Allegedly Armed,gun,not fleeing,2016
2686,33,Male,black,Kansas City,MO,No known charges,Allegedly Armed,gun,not fleeing,2018
2689,32,Male,black,Carencro,LA,No known charges,Unclear,undetermined,,2018
5245,37,Male,black,Cincinnati,OH,No known charges,Unarmed,toy weapon,other,2016
2693,34,Male,black,Danville,IL,No known charges,Allegedly Armed,gun,car,2018
2695,26,Male,black,Monroe,GA,No known charges,Allegedly Armed,gun,,2018
2697,22,Male,black,Washington,DC,No known charges,Allegedly Armed,gun,not fleeing,2018
2683,18,Male,black,Las Vegas,NV,No known charges,Allegedly Armed,gun,car,2018
5919,20,Male,black,Stone Mountain,GA,No known charges,Allegedly Armed,gun,not fleeing,2015
2597,37,Male,black,Chicago,IL,No known charges,Allegedly Armed,gun,foot,2018
5399,55,Female,black,Chicago,IL,No known charges,Unarmed,no object,,2015
2505,48,Male,black,San Diego,CA,No known charges,Unclear,chain,not fleeing,2018
5530,39,Male,black,Oakland,CA,No known charges,Unarmed,toy weapon,not fleeing,2015
2507,52,Male,black,Hollywood,FL,No known charges,Allegedly Armed,gun,not fleeing,2018
2508,54,Male,black,Omaha,NE,No known charges,Allegedly Armed,knife,not fleeing,2018
5529,16,Male,black,Philadelphia,PA,No known charges,Unclear,undetermined,not fleeing,2015
5526,21,Male,black,Cayce,SC,No known charges,Allegedly Armed,gun,not fleeing,2015
5522,28,Male,black,Miami,FL,No known charges,Allegedly Armed,gun,foot,2015
5521,30,Male,black,Houston,TX,No known charges,Vehicle,vehicle,car,2015
2513,62,Male,black,Las Vegas,NV,No known charges,Allegedly Armed,knife,not fleeing,2018
2514,59,Male,black,Philadelphia,PA,No known charges,Allegedly Armed,gun,not fleeing,2018
2517,39,Male,black,Atlanta,GA,No known charges,Unclear,metal pipe,not fleeing,2018
5520,25,Male,black,Opa-locka,FL,No known charges,Unarmed,toy broomstick,not fleeing,2015
5519,44,Male,black,Benton Harbor,MI,No known charges,Allegedly Armed,gun,not fleeing,2015
5518,30,Female,black,Portage,IN,Charged,Unarmed,no object,,2015
5517,34,Male,black,Washington,DC,No known charges,Allegedly Armed,knife,not fleeing,2015
5531,24,Male,black,Minneapolis,MN,No known charges,Unarmed,no object,not fleeing,2015
2503,40,Male,black,Hyattsville,MD,No known charges,Allegedly Armed,gun,foot,2018
2502,30,Male,black,Las Vegas,NV,No known charges,Allegedly Armed,knife,not fleeing,2018
2501,48,Male,black,Philadelphia,PA,No known charges,Allegedly Armed,gun,foot,2018
5567,62,Male,black,Washington,DC,No known charges,Allegedly Armed,gun,car,2015
5562,57,Male,black,Houston,TX,No known charges,Allegedly Armed,gun,car,2015
5553,22,Male,black,Oveido,FL,No known charges,Vehicle,vehicle,,2015
5552,22,Male,black,Oveido,FL,No known charges,Vehicle,vehicle,,2015
2474,36,Male,black,Philadelphia,PA,No known charges,Vehicle,vehicle,car,2018
2475,33,Male,black,Atlanta,GA,No known charges,Allegedly Armed,gun,,2018
2478,21,Male,black,Bakersfield,CA,No known charges,Unarmed,toy weapon,not fleeing,2018
5516,27,Male,black,Fort Pierce,FL,No known charges,Allegedly Armed,knife,not fleeing,2015
5549,20,Male,black,Spartanburg,SC,No known charges,Vehicle,vehicle,car,2015
5541,32,Male,black,Baltimore,MD,No known charges,Allegedly Armed,gun,not fleeing,2015
2486,30,Male,black,Wasilla,AK,No known charges,Allegedly Armed,knife,not fleeing,2018
2491,33,Male,black,Oklahoma City,OK,No known charges,Allegedly Armed,gun,foot,2018
2493,48,Male,black,Milwaukee,WI,No known charges,Allegedly Armed,gun,not fleeing,2018
2497,40,Male,black,Amherst,VA,No known charges,Allegedly Armed,gun,car,2018
5533,25,Male,black,Washington,DC,No known charges,Allegedly Armed,knife,,2015
2500,28,Male,black,Columbus,OH,No known charges,Allegedly Armed,gun,foot,2018
2483,21,Male,black,Austin,TX,No known charges,Allegedly Armed,gun,,2018
2596,68,Male,black,Florence,SC,No known charges,Allegedly Armed,gun,not fleeing,2018
2526,34,Male,black,Pine Bluff,AR,No known charges,Allegedly Armed,gun,not fleeing,2018
5514,29,Male,black,Barstow,CA,No known charges,Unarmed,no object,not fleeing,2015
5449,24,Male,black,Chattanooga,TN,No known charges,Allegedly Armed,gun,not fleeing,2015
5448,28,Male,black,Lynwood,CA,No known charges,Allegedly Armed,gun,not fleeing,2015
5440,33,Male,black,New Orleans,LA,No known charges,Allegedly Armed,gun,not fleeing,2015
5434,51,Male,black,Dallas,NC,No known charges,Vehicle,vehicle,car,2015
5426,24,Male,black,Concord,VA,No known charges,Allegedly Armed,gun,,2015
5422,35,Male,black,Harrington,DE,No known charges,Allegedly Armed,gun,not fleeing,2015
5421,30,Male,black,Palmdale,CA,No known charges,Unarmed,no object,not fleeing,2015
5420,32,Male,black,St Martinville,LA,No known charges,Unarmed,no object,not fleeing,2015
5416,25,Male,black,Denver,CO,No known charges,Allegedly Armed,gun,not fleeing,2015
5414,48,Male,black,Douglasville,GA,No known charges,Allegedly Armed,gun,not fleeing,2015
5408,35,Male,black,Dearborn,MI,No known charges,Unarmed,no object,not fleeing,2015
5407,24,Male,black,Lansing,MI,No known charges,Allegedly Armed,gun,not fleeing,2015
5406,18,Male,black,Charlotte,NC,No known charges,Allegedly Armed,gun,not fleeing,2015
2593,25,Male,black,Kansas City,MO,No known charges,Allegedly Armed,gun,not fleeing,2018
5400,19,Male,black,Chicago,IL,No known charges,Allegedly Armed,baseball bat,not fleeing,2015
5451,25,Male,black,Indianapolis,IN,No known charges,Allegedly Armed,knife,not fleeing,2015
5457,55,Male,black,Taylors,SC,No known charges,Allegedly Armed,gun,not fleeing,2015
5461,32,Male,black,Tallahassee,FL,No known charges,Allegedly Armed,gun,,2015
2563,20,Male,black,Starke,FL,No known charges,Allegedly Armed,gun,car,2018
2531,41,Male,black,Shreveport,LA,No known charges,Unclear,undetermined,not fleeing,2018
2535,27,Male,black,Oxon Hill,MD,No known charges,Allegedly Armed,gun,foot,2018
5504,24,Male,black,Camden,NJ,No known charges,Allegedly Armed,gun,not fleeing,2015
2538,41,Male,black,Yale,VA,No known charges,Allegedly Armed,gun,car,2018
2541,35,Male,black,Luxora,AR,No known charges,Allegedly Armed,gun,foot,2018
5487,18,Male,black,Atlanta,GA,No known charges,Allegedly Armed,gun,foot,2015
2549,25,Male,black,Toledo,OH,No known charges,Allegedly Armed,gun,foot,2018
5515,34,Male,black,Bradenton,FL,No known charges,Allegedly Armed,gun,,2015
2550,60,Female,black,Savannah,GA,No known charges,Unarmed,no object,,2018
5476,21,Male,black,Pittsburgh,PA,No known charges,Allegedly Armed,gun,not fleeing,2015
2556,25,Male,black,Nashville,TN,Charged,Allegedly Armed,gun,car,2018
5468,46,Male,black,Richmond Heights,OH,No known charges,Allegedly Armed,gun,not fleeing,2015
5466,30,Male,black,New York,NY,No known charges,Allegedly Armed,gun,,2015
5465,33,Male,black,Cleveland,OH,No known charges,Allegedly Armed,gun,not fleeing,2015
2561,29,Male,black,Memphis,TN,No known charges,Allegedly Armed,gun,not fleeing,2018
5463,36,Male,black,Yonkers,NY,No known charges,Unarmed,no object,foot,2015
5479,26,Male,black,San Francisco,CA,No known charges,Allegedly Armed,knife,not fleeing,2015
5181,22,Male,black,Reno,NV,No known charges,Unarmed,toy weapon,foot,2016
5924,36,Male,black,Plantation,FL,No known charges,Unarmed,no object,not fleeing,2015
2181,43,Male,black,Las Vegas,NV,No known charges,Allegedly Armed,knife,not fleeing,2018
1835,29,Male,black,State College,PA,No known charges,Allegedly Armed,knife,not fleeing,2019
6356,20,Female,black,Charlotte,NC,No known charges,Unclear,undetermined,not fleeing,2015
1837,22,Male,black,Bastrop,LA,No known charges,Allegedly Armed,gun,foot,2019
6355,41,Male,black,Tulsa,OK,No known charges,Unarmed,no object,,2015
6352,38,Male,black,Birmingham,AL,No known charges,Allegedly Armed,gun,not fleeing,2015
6348,39,Male,black,Coconut Creek,FL,No known charges,Unarmed,no object,,2015
1845,21,Male,black,Dublin,GA,No known charges,Vehicle,vehicle,,2019
1846,27,Male,black,Dublin,GA,No known charges,Vehicle,vehicle,,2019
6346,16,Male,black,Millbrook,AL,No known charges,Allegedly Armed,gun,not fleeing,2015
6339,27,Male,black,Oklahoma City,OK,No known charges,Vehicle,vehicle,car,2015
1854,48,Female,black,Greensburg,PA,No known charges,Allegedly Armed,gun,not fleeing,2019
1855,41,Male,black,San Leandro,CA,No known charges,Vehicle,vehicle,car,2019
1858,32,Female,black,Miami,FL,No known charges,Vehicle,vehicle,not fleeing,2019
6330,34,Male,black,Wellston,MO,No known charges,Unarmed,no object,car,2015
6328,28,Male,black,Columbia,MO,No known charges,Allegedly Armed,gun,car,2015
