,victim_age,victim_gender,victim_race,date,City,State,criminal_charges,victim_armed,alleged_weapon,victim_fleeing
6177,41,Male,black,2015-04-15,Spartanburg,SC,No known charges,Allegedly Armed,knife,not fleeing
2363,29,Male,black,2018-09-26,Newark,NJ,No known charges,Vehicle,vehicle,car
2364,37,Male,black,2018-09-25,Newark,NJ,No known charges,Allegedly Armed,gun,
5686,28,Male,black,2015-09-23,Wilmington,DE,No known charges,Allegedly Armed,gun,not fleeing
2366,34,Male,black,2018-09-25,Orlando,FL,No known charges,Allegedly Armed,gun,not fleeing
5685,19,Male,black,2015-09-23,Reisterstown,MD,No known charges,Unarmed,no object,foot
5683,48,Male,black,2015-09-23,Salt Lake City,UT,No known charges,Allegedly Armed,knife,not fleeing
5681,42,Male,black,2015-09-24,Miami,FL,No known charges,Allegedly Armed,knife,not fleeing
2370,29,Male,black,2018-09-23,Baltimore,MD,No known charges,Allegedly Armed,gun,not fleeing
5676,33,Male,black,2015-09-25,Chicago,IL,No known charges,Allegedly Armed,box cutter,not fleeing
5674,46,Male,black,2015-09-26,Baton Rouge,LA,No known charges,Allegedly Armed,knife,not fleeing
5670,31,Male,black,2015-09-28,North Miami,FL,No known charges,Unarmed,no object,foot
5666,28,Male,black,2015-09-30,Beckley,WV,No known charges,Allegedly Armed,gun,car
5658,31,Male,black,2015-10-04,Chicago,IL,No known charges,Allegedly Armed,gun,not fleeing
2393,31,Male,black,2018-09-16,Shreveport,LA,No known charges,Allegedly Armed,gun,not fleeing
5643,23,Male,black,2015-10-11,Taylors ,SC,No known charges,Allegedly Armed,gun,not fleeing
5691,32,Male,black,2015-09-22,Haywood,CA,No known charges,Allegedly Armed,gun,car
5641,40,Male,black,2015-10-12,Lawton,OK,No known charges,Allegedly Armed,gun,not fleeing
2358,41,Male,black,2018-09-27,Palatka,FL,No known charges,Allegedly Armed,gun,not fleeing
2355,23,Male,black,2018-09-28,Houston,TX,No known charges,Allegedly Armed,gun,
2328,31,Male,black,2018-10-10,Milwaukee,WI,No known charges,Allegedly Armed,gun,not fleeing
5742,28,Female,black,2015-09-05,Virginia Beach,VA,No known charges,Unarmed,no object,not fleeing
5739,21,Male,black,2015-09-05,Durham,NC,No known charges,Unarmed,toy weapon,not fleeing
5735,41,Male,black,2015-09-07,Detroit,MI,No known charges,Unarmed,no object,
5729,37,Male,black,2015-09-09,Kansas City,MO,No known charges,Allegedly Armed,gun,not fleeing
2339,31,Male,black,2018-10-05,Nashville,TN,No known charges,Allegedly Armed,gun,not fleeing
2341,45,Male,black,2018-10-04,Scarbro,WV,No known charges,Allegedly Armed,gun,not fleeing
2343,38,Male,black,2018-10-03,Memphis,TN,No known charges,Allegedly Armed,gun,not fleeing
2344,36,Male,black,2018-10-03,Millbrae,CA,No known charges,Unarmed,no object,
2345,36,Female,black,2018-10-02,Victorville,CA,No known charges,Vehicle,vehicle,not fleeing
5722,29,Male,black,2015-09-10,Indianapolis,IN,No known charges,Allegedly Armed,gun,not fleeing
5716,67,Male,black,2015-09-13,Pond Creek,OK,No known charges,Allegedly Armed,gun,not fleeing
2350,27,Male,black,2018-09-30,Portland,OR,No known charges,Allegedly Armed,gun,
5713,25,Male,black,2015-09-14,Eddyville,KY,No known charges,Allegedly Armed,gun,car
5712,21,Male,black,2015-09-15,Chalmette,LA,No known charges,Allegedly Armed,railroad spike,not fleeing
5709,27,Male,black,2015-09-15,Alexandria,LA,No known charges,Allegedly Armed,gun,not fleeing
2399,19,Male,black,2018-09-15,Greensboro,MD,No known charges,Unarmed,no object,
5636,57,Male,black,2015-10-14,Evergreen,AL,No known charges,Allegedly Armed,gun,not fleeing
2402,53,Male,black,2018-09-14,Dover,NC,No known charges,Allegedly Armed,gun,not fleeing
5602,38,Male,black,2015-10-22,Shreveport,LA,No known charges,Allegedly Armed,knife,not fleeing
5601,36,Male,black,2015-10-22,Carmichael,CA,No known charges,Allegedly Armed,gun,car
