,victim_age,victim_gender,victim_race,date,City,State,criminal_charges,victim_armed,alleged_weapon,victim_fleeing
5600,18,Male,black,2015-10-23,Midwest City,OK,No known charges,Allegedly Armed,gun,not fleeing
5598,34,Male,black,2015-10-24,Cape Coral,FL,No known charges,Allegedly Armed,gun,not fleeing
2442,17,Male,black,2018-08-29,Houston,TX,No known charges,Vehicle,vehicle,car
5594,30,Male,black,2015-10-24,Cathedral City,CA,No known charges,Unarmed,binoculars,not fleeing
5590,21,Female,black,2015-10-26,Washington,DC,No known charges,Allegedly Armed,gun,not fleeing
2445,50,Male,black,2018-08-28,Harbeson,DE,No known charges,Allegedly Armed,gun,not fleeing
5588,45,Male,black,2015-10-26,Frederick,MD,No known charges,Vehicle,vehicle,not fleeing
5587,25,Male,black,2015-10-27,Savannah,GA,No known charges,Allegedly Armed,gun,not fleeing
5585,34,Male,black,2015-10-28,Jacksonville,FL,No known charges,Allegedly Armed,gun,not fleeing
5584,29,Male,black,2015-10-28,San Diego,CA,No known charges,Unarmed,no object,not fleeing
5579,25,Male,black,2015-10-29,Columbus,OH,No known charges,Allegedly Armed,gun,not fleeing
5576,25,Male,black,2015-10-30,Houston,TX,No known charges,Allegedly Armed,gun,foot
5575,20,Male,black,2015-10-30,Houston,TX,No known charges,Allegedly Armed,unknown weapon,
2436,24,Male,black,2018-09-01,Arlington,TX,Charged,Vehicle,vehicle,car
2433,21,Male,black,2018-09-03,Covington,GA,No known charges,Allegedly Armed,gun,foot
5613,39,Male,black,2015-10-20,San Diego,CA,No known charges,Unarmed,toy weapon,not fleeing
5614,53,Male,black,2015-10-19,Los Angeles,CA,No known charges,Vehicle,vehicle,not fleeing
5630,25,Male,black,2015-10-15,Columbus,OH,No known charges,Allegedly Armed,gun,not fleeing
2406,46,Male,black,2018-09-14,Detroit,MI,No known charges,Allegedly Armed,gun,not fleeing
2407,23,Male,black,2018-09-14,Fort Worth,TX,No known charges,Allegedly Armed,gun,
5628,20,Male,black,2015-10-15,Houston,TX,No known charges,Allegedly Armed,gun,not fleeing
2411,38,Male,black,2018-09-12,Gary,IN,No known charges,Allegedly Armed,gun,not fleeing
5624,33,Male,black,2015-10-16,Columbus,MS,Charged,Unclear,undetermined,foot
5621,30,Male,black,2015-10-17,Chula Vista,CA,No known charges,Unarmed,no object,
5743,35,Male,black,2015-09-05,Virginia Beach,VA,No known charges,Allegedly Armed,gun,not fleeing
2416,39,Female,black,2018-09-09,Missouri City,TX,No known charges,Allegedly Armed,gun,not fleeing
2420,28,Male,black,2018-09-07,Pawtucket,RI,No known charges,Allegedly Armed,gun,
5620,18,Male,black,2015-10-17,Richmond,VA,Charged,Unarmed,no object,
5619,28,Male,black,2015-10-17,York,PA,No known charges,Allegedly Armed,knife,not fleeing
5618,31,Male,black,2015-10-18,Palm Beach,FL,Charged,Allegedly Armed,gun,not fleeing
2426,19,Male,black,2018-09-06,Sacramento,CA,No known charges,Unarmed,toy weapon,foot
2427,26,Male,black,2018-09-06,Dallas,TX,Charged,Unarmed,no object,not fleeing
2428,23,Male,black,2018-09-05,Hollywood,FL,No known charges,Unarmed,no object,not fleeing
2418,24,Male,black,2018-09-09,Greenville,NC,No known charges,Allegedly Armed,gun,not fleeing
2324,47,Male,black,2018-10-10,Rochester,NY,No known charges,Allegedly Armed,gun,car
5753,33,Male,black,2015-09-01,Bluefield,WV,No known charges,Allegedly Armed,gun,foot
2322,22,Male,black,2018-10-11,West Jordan,UT,No known charges,Allegedly Armed,knife,
2227,25,Male,black,2018-11-15,Augusta,GA,No known charges,Allegedly Armed,knife,not fleeing
5851,49,Male,black,2015-08-03,Oakland,CA,No known charges,Allegedly Armed,gun,not fleeing
2232,22,Male,black,2018-11-14,Fort Chiswell,VA,No known charges,Allegedly Armed,gun,not fleeing
2234,24,Male,black,2018-11-13,Glendale,AZ,No known charges,Unclear,unknown weapon,car
5847,31,Male,black,2015-08-04,Rantoul,IL,No known charges,Allegedly Armed,gun,not fleeing
2236,47,Male,black,2018-11-12,Oklahoma City,OK,No known charges,Allegedly Armed,gun,other
5842,39,Male,black,2015-08-05,Kahului,HI,No known charges,Allegedly Armed,gun,not fleeing
5841,20,Male,black,2015-08-05,Richmond,VA,No known charges,Allegedly Armed,gun,foot
5840,22,Male,black,2015-08-06,Orlando,FL,No known charges,Unclear,undetermined,
5839,22,Male,black,2015-08-06,El Paso,TX,No known charges,Allegedly Armed,gun,car
2243,26,Male,black,2018-11-11,Robbins,IL,No known charges,Allegedly Armed,gun,not fleeing
2245,39,Male,black,2018-11-10,Clarksdale,MS,No known charges,Allegedly Armed,gun,not fleeing
5837,32,Male,black,2015-08-06,Decatur,GA,No known charges,Unarmed,no object,
5836,19,Male,black,2015-08-07,Arlington,TX,No known charges,Unarmed,no object,not fleeing
2249,36,Male,black,2018-11-09,St. Paul,MN,No known charges,Unclear,unknown weapon,not fleeing
2225,18,Male,black,2018-11-15,Greenwood Village,CO,No known charges,Allegedly Armed,gun,not fleeing
2222,27,Male,black,2018-11-17,Fort Pierce,FL,No known charges,Vehicle,vehicle,car
5865,37,Male,black,2015-07-29,Baton Rouge,LA,No known charges,Allegedly Armed,gun,
2217,33,Male,black,2018-11-20,Magnolia,AR,No known charges,Vehicle,vehicle,not fleeing
5916,20,Male,black,2015-07-14,Mascotte,FL,No known charges,Allegedly Armed,gun,not fleeing
5913,25,Male,black,2015-07-16,Moreno Valley,CA,No known charges,Unclear,metal hand tool,not fleeing
5910,35,Male,black,2015-07-16,Homestead,FL,No known charges,Allegedly Armed,gun,not fleeing
5906,19,Male,black,2015-07-17,Memphis,TN,No known charges,Unarmed,no object,foot
5904,23,Male,black,2015-07-17,Orlando,FL,No known charges,Unarmed,no object,foot
2198,35,Male,black,2018-11-27,Topeka,KS,No known charges,Vehicle,vehicle,car
5896,43,Male,black,2015-07-19,Cincinnati,OH,Charged,Unarmed,no object,car
5834,25,Male,black,2015-08-07,Greenville,NC,No known charges,Allegedly Armed,gun,not fleeing
2205,23,Male,black,2018-11-23,Detroit,MI,No known charges,Unclear,undetermined,not fleeing
5887,26,Male,black,2015-07-22,Oklahoma City,OK,No known charges,Allegedly Armed,knife,other
5886,27,Male,black,2015-07-22,Philadelphia,PA,No known charges,Allegedly Armed,gun,not fleeing
2210,48,Male,black,2018-11-21,Talladega,AL,No known charges,Allegedly Armed,gun,not fleeing
5884,34,Male,black,2015-07-23,Dayton,OH,No known charges,Allegedly Armed,gun,not fleeing
5876,36,Male,black,2015-07-25,Las Vegas,NV,No known charges,Unarmed,toy weapon,not fleeing
5874,59,Male,black,2015-07-25,Micanopy,FL,No known charges,Allegedly Armed,gun,not fleeing
5873,33,Male,black,2015-07-26,Shreveport,LA,No known charges,Allegedly Armed,gun,not fleeing
2207,21,Male,black,2018-11-22,Birmingham,AL,No known charges,Allegedly Armed,gun,not fleeing
5573,56,Male,black,2015-10-31,Opelika,AL,No known charges,Allegedly Armed,gun,car
5832,28,Male,black,2015-08-07,Long Beach,CA,No known charges,Allegedly Armed,knife,not fleeing
5823,15,Male,black,2015-08-09,Indianapolis,IN,No known charges,Vehicle,vehicle,not fleeing
5783,39,Male,black,2015-08-22,Troy,NY,No known charges,Allegedly Armed,gun,foot
5781,53,Male,black,2015-08-23,Archdale,NC,No known charges,Allegedly Armed,gun,not fleeing
2295,21,Male,black,2018-10-19,Miami Gardens,FL,No known charges,Vehicle,vehicle,car
2297,63,Male,black,2018-10-18,Monroe,GA,No known charges,Unarmed,toy weapon,not fleeing
5773,34,Male,black,2015-08-25,West Chester,PA,No known charges,Allegedly Armed,knife,not fleeing
5768,30,Male,black,2015-08-27,Oakland,CA,No known charges,Allegedly Armed,chain,not fleeing
2301,19,Male,black,2018-10-18,Vineland,NJ,No known charges,Unclear,undetermined,not fleeing
5767,42,Male,black,2015-08-27,Dallas,TX,No known charges,Allegedly Armed,box cutter,not fleeing
2303,19,Male,black,2018-10-17,Memphis,TN,No known charges,Allegedly Armed,gun,foot
2305,18,Male,black,2018-10-17,San Antonio,TX,No known charges,Unarmed,no object,not fleeing
5765,61,Male,black,2015-08-28,Mt. Vernon,NY,No known charges,Unarmed,no object,not fleeing
5761,25,Male,black,2015-08-29,North Las Vegas,NV,No known charges,Allegedly Armed,gun,foot
2314,22,Male,black,2018-10-14,Jeffersonville,OH,No known charges,Allegedly Armed,gun,not fleeing
2315,27,Male,black,2018-10-13,Fort Smith,AR,No known charges,Allegedly Armed,knife,not fleeing
5755,48,Male,black,2015-08-31,Cincinnati,OH,No known charges,Unarmed,no object,
2289,27,Male,black,2018-10-21,Washington,NC,No known charges,Allegedly Armed,gun,not fleeing
5796,24,Male,black,2015-08-19,Bloomfield Hills,MI,No known charges,Allegedly Armed,gun,car
2286,18,Male,black,2018-10-22,Snellville,GA,No known charges,Allegedly Armed,lawn mower blade,not fleeing
5798,18,Male,black,2015-08-19,St. Louis,MO,No known charges,Unclear,gun,foot
5818,27,Male,black,2015-08-12,Oakland,CA,No known charges,Allegedly Armed,gun,car
2261,29,Male,black,2018-11-04,St. Clair Shores,MI,No known charges,Allegedly Armed,gun,foot
2263,33,Male,black,2018-11-03,Danville,CA,No known charges,Vehicle,vehicle,not fleeing
2265,35,Male,black,2018-11-02,Idaho Falls,ID,No known charges,Unarmed,no object,foot
5814,27,Male,black,2015-08-12,Toledo,OH,No known charges,Allegedly Armed,gun,car
2267,24,Male,black,2018-11-01,Jacksonville,FL,No known charges,Allegedly Armed,gun,foot
5813,30,Female,black,2015-08-12,Los Angeles,CA,No known charges,Allegedly Armed,knife,not fleeing
5829,24,Male,black,2015-08-08,Summerville,SC,No known charges,Allegedly Armed,gun,car
5812,30,Male,black,2015-08-14,Spauldings,MD,No known charges,Unarmed,no object,foot
2271,30,Male,black,2018-10-29,Los Angeles,CA,No known charges,Allegedly Armed,Taser,not fleeing
5807,23,Male,black,2015-08-15,Sunnyvale,CA,No known charges,Allegedly Armed,gun,not fleeing
2276,28,Male,black,2018-10-29,Parkville,MD,No known charges,Vehicle,vehicle,car
2277,30,Male,black,2018-10-27,Kingwood,TX,No known charges,Allegedly Armed,gun,not fleeing
2279,28,Male,black,2018-10-25,St. Louis,MO,No known charges,Allegedly Armed,gun,not fleeing
5804,34,Male,black,2015-08-15,Inyokern,CA,No known charges,Allegedly Armed,gun,not fleeing
5800,35,Male,black,2015-08-17,Houston,TX,No known charges,Allegedly Armed,gun,not fleeing
5811,38,Male,black,2015-08-14,New York,NY,No known charges,Allegedly Armed,gun,not fleeing
5571,27,Male,black,2015-11-01,Washington,DC,No known charges,Unarmed,no object,
2464,20,Male,black,2018-08-24,Cincinnati,OH,No known charges,Allegedly Armed,gun,not fleeing
2465,25,Male,black,2018-08-24,Tulsa,OK,No known charges,Unarmed,no object,
2639,19,Male,black,2018-06-29,Phoenix,AZ,No known charges,Allegedly Armed,gun,not fleeing
5310,29,Male,black,2016-01-30,Chicago,IL,No known charges,Allegedly Armed,gun,not fleeing
5303,37,Male,black,2016-01-31,Pittsburgh,PA,No known charges,Allegedly Armed,knife,not fleeing
5301,36,Male,black,2016-02-01,Washington,DC,No known charges,Unarmed,toy weapon,foot
2647,39,Male,black,2018-06-27,Aurora,CO,No known charges,Allegedly Armed,gun,foot
5293,36,Male,black,2016-02-04,San Antonio,TX,No known charges,Unarmed,no object,not fleeing
2653,30,Male,black,2018-06-23,Minneapolis,MN,No known charges,Allegedly Armed,gun,foot
5289,37,Male,black,2016-02-05,Antioch,CA,No known charges,Unarmed,no object,not fleeing
2656,25,Male,black,2018-06-23,Monroe,LA,No known charges,Allegedly Armed,knife,not fleeing
5280,23,Male,black,2016-02-07,Columbus,OH,No known charges,Allegedly Armed,gun,other
2662,32,Male,black,2018-06-22,Atlantic City,NJ,No known charges,Allegedly Armed,knife,not fleeing
5278,17,Male,black,2016-02-08,Austin,TX,No known charges,Unarmed,no object,not fleeing
5277,22,Male,black,2016-02-08,New Orleans,LA,No known charges,Vehicle,vehicle,car
2666,33,Male,black,2018-06-20,Kingsland,GA,Charged,Unarmed,no object,foot
2667,21,Male,black,2018-06-19,Stone Mountain,GA,No known charges,Allegedly Armed,gun,not fleeing
2638,,Male,black,2018-06-29,Portland,OR,No known charges,Allegedly Armed,gun,
2637,27,Male,black,2018-06-29,Pomona,CA,No known charges,Allegedly Armed,knife,car
5311,33,Male,black,2016-01-29,Lynn,MA,No known charges,Allegedly Armed,gun,other
5313,29,Male,black,2016-01-29,Irving,TX,No known charges,Allegedly Armed,gun,not fleeing
5388,23,Male,black,2015-12-31,Las Vegas,NV,No known charges,Unarmed,no object,not fleeing
5383,30,Male,black,2016-01-03,Charlotte,NC,No known charges,Allegedly Armed,gun,not fleeing
5382,22,Male,black,2016-01-04,Oklahoma City,OK,No known charges,Allegedly Armed,gun,foot
5381,27,Male,black,2016-01-04,Ragley,LA,No known charges,Unclear,undetermined,not fleeing
5380,33,Male,black,2016-01-05,Charlotte,NC,No known charges,Allegedly Armed,gun,not fleeing
5356,24,Male,black,2016-01-15,Southfield,MI,No known charges,Allegedly Armed,gun,not fleeing
5350,19,Male,black,2016-01-16,Belle Glade,FL,No known charges,Allegedly Armed,gun,foot
5276,33,Male,black,2016-02-08,Chester,PA,No known charges,Allegedly Armed,gun,car
5348,52,Male,black,2016-01-17,St. Louis,MO,No known charges,Allegedly Armed,gun,not fleeing
2618,43,Male,black,2018-07-06,Overland Park,KS,No known charges,Allegedly Armed,gun,not fleeing
5331,39,Male,black,2016-01-21,Eufaula,OK,No known charges,Allegedly Armed,gun,car
5324,32,Male,black,2016-01-27,Memphis,TN,No known charges,Allegedly Armed,gun,other
2628,33,Male,black,2018-07-03,Chicago,IL,No known charges,Allegedly Armed,gun,
5320,31,Female,black,2016-01-27,Dearborn,MI,No known charges,Vehicle,vehicle,car
2630,40,Male,black,2018-07-03,Fayetteville,NC,No known charges,Allegedly Armed,knife,
5314,19,Male,black,2016-01-28,Oak Grove,OR,No known charges,Allegedly Armed,gun,not fleeing
5333,40,Male,black,2016-01-20,Port Barre,LA,No known charges,Allegedly Armed,gun,not fleeing
2599,37,Male,black,2018-07-14,Vineland,NJ,No known charges,Unarmed,no object,
2670,17,Male,black,2018-06-19,East Pittsburgh,PA,Charged,Unarmed,no object,foot
5263,24,Male,black,2016-02-12,Riverdale,GA,No known charges,Allegedly Armed,gun,foot
5233,32,Male,black,2016-02-21,Inglewood,CA,No known charges,Unclear,undetermined,not fleeing
5232,31,Female,black,2016-02-21,Inglewood,CA,No known charges,Allegedly Armed,gun,not fleeing
2708,28,Male,black,2018-06-07,Gary,IN,No known charges,Allegedly Armed,gun,not fleeing
5225,37,Male,black,2016-02-22,West Haven,CT,No known charges,Unarmed,no object,not fleeing
5224,48,Male,black,2016-02-23,Baton Rouge,LA,No known charges,Vehicle,vehicle,not fleeing
2711,24,Male,black,2018-06-06,Chicago,IL,No known charges,Allegedly Armed,gun,
5220,21,Male,black,2016-02-24,East Troy,WI,No known charges,Unarmed,no object,car
5215,56,Male,black,2016-02-25,Montgomery,AL,Charged,Unclear,Pole,not fleeing
5213,38,Male,black,2016-02-25,Hesston,KS,No known charges,Allegedly Armed,gun,not fleeing
5210,18,Male,black,2016-02-26,Cave Spring,VA,No known charges,Unarmed,toy weapon,not fleeing
2721,43,Male,black,2018-06-02,Chicago,IL,No known charges,Vehicle,vehicle,car
2722,39,Male,black,2018-06-02,Macon,GA,No known charges,Allegedly Armed,gun,
5205,24,Male,black,2016-02-29,Raleigh,NC,No known charges,Unclear,gun,foot
2727,42,Male,black,2018-05-31,Thomasville,NC,No known charges,Allegedly Armed,knife,car
2730,23,Male,black,2018-05-30,Homestead,FL,No known charges,Allegedly Armed,gun,not fleeing
5234,46,Male,black,2016-02-21,Seattle,WA,No known charges,Unclear,undetermined,not fleeing
2701,36,Female,black,2018-06-09,Deptford,NJ,No known charges,Vehicle,vehicle,car
5238,41,Male,black,2016-02-20,Lakewood,WA,No known charges,Allegedly Armed,gun,car
2699,41,Male,black,2018-06-11,Silver Spring,MD,No known charges,Unarmed,no object,not fleeing
2673,33,Male,black,2018-06-17,Trenton,NJ,No known charges,Allegedly Armed,gun,not fleeing
5262,32,Female,black,2016-02-12,Syracuse,NY,No known charges,Allegedly Armed,gun,not fleeing
5261,29,Male,black,2016-02-12,Boston,MA,No known charges,Allegedly Armed,gun,not fleeing
2676,37,Male,black,2018-06-16,Warwick,NY,No known charges,Allegedly Armed,knife,not fleeing
5259,32,Male,black,2016-02-12,College Park,GA,No known charges,Vehicle,vehicle,car
5258,19,Male,black,2016-02-13,Arvonia,VA,No known charges,Unarmed,no object,not fleeing
5257,22,Male,black,2016-02-13,Baton Rouge,LA,No known charges,Allegedly Armed,gun,car
5264,30,Male,black,2016-02-11,Columbus,OH,No known charges,Allegedly Armed,machete,car
5256,24,Male,black,2016-02-13,Beckville,TX,No known charges,Unarmed,no object,other
5255,29,Male,black,2016-02-13,Urbandale,IA,No known charges,Allegedly Armed,gun,not fleeing
2686,33,Male,black,2018-06-14,Kansas City,MO,No known charges,Allegedly Armed,gun,not fleeing
2689,32,Male,black,2018-06-13,Carencro,LA,No known charges,Unclear,undetermined,
5245,37,Male,black,2016-02-17,Cincinnati,OH,No known charges,Unarmed,toy weapon,other
2693,34,Male,black,2018-06-12,Danville,IL,No known charges,Allegedly Armed,gun,car
2695,26,Male,black,2018-06-12,Monroe,GA,No known charges,Allegedly Armed,gun,
2697,22,Male,black,2018-06-12,Washington,DC,No known charges,Allegedly Armed,gun,not fleeing
2683,18,Male,black,2018-06-14,Las Vegas,NV,No known charges,Allegedly Armed,gun,car
5919,20,Male,black,2015-07-13,Stone Mountain,GA,No known charges,Allegedly Armed,gun,not fleeing
2597,37,Male,black,2018-07-14,Chicago,IL,No known charges,Allegedly Armed,gun,foot
5399,55,Female,black,2015-12-26,Chicago,IL,No known charges,Unarmed,no object,
2505,48,Male,black,2018-08-08,San Diego,CA,No known charges,Unclear,chain,not fleeing
5530,39,Male,black,2015-11-15,Oakland,CA,No known charges,Unarmed,toy weapon,not fleeing
2507,52,Male,black,2018-08-08,Hollywood,FL,No known charges,Allegedly Armed,gun,not fleeing
2508,54,Male,black,2018-08-08,Omaha,NE,No known charges,Allegedly Armed,knife,not fleeing
5529,16,Male,black,2015-11-15,Philadelphia,PA,No known charges,Unclear,undetermined,not fleeing
5526,21,Male,black,2015-11-17,Cayce,SC,No known charges,Allegedly Armed,gun,not fleeing
5522,28,Male,black,2015-11-17,Miami,FL,No known charges,Allegedly Armed,gun,foot
5521,30,Male,black,2015-11-17,Houston,TX,No known charges,Vehicle,vehicle,car
2513,62,Male,black,2018-08-06,Las Vegas,NV,No known charges,Allegedly Armed,knife,not fleeing
2514,59,Male,black,2018-08-06,Philadelphia,PA,No known charges,Allegedly Armed,gun,not fleeing
2517,39,Male,black,2018-08-06,Atlanta,GA,No known charges,Unclear,metal pipe,not fleeing
5520,25,Male,black,2015-11-18,Opa-locka,FL,No known charges,Unarmed,toy broomstick,not fleeing
5519,44,Male,black,2015-11-18,Benton Harbor,MI,No known charges,Allegedly Armed,gun,not fleeing
5518,30,Female,black,2015-11-18,Portage,IN,Charged,Unarmed,no object,
5517,34,Male,black,2015-11-19,Washington,DC,No known charges,Allegedly Armed,knife,not fleeing
5531,24,Male,black,2015-11-15,Minneapolis,MN,No known charges,Unarmed,no object,not fleeing
2503,40,Male,black,2018-08-09,Hyattsville,MD,No known charges,Allegedly Armed,gun,foot
2502,30,Male,black,2018-08-09,Las Vegas,NV,No known charges,Allegedly Armed,knife,not fleeing
2501,48,Male,black,2018-08-09,Philadelphia,PA,No known charges,Allegedly Armed,gun,foot
5567,62,Male,black,2015-11-02,Washington,DC,No known charges,Allegedly Armed,gun,car
5562,57,Male,black,2015-11-04,Houston,TX,No known charges,Allegedly Armed,gun,car
5553,22,Male,black,2015-11-09,Oveido,FL,No known charges,Vehicle,vehicle,
5552,22,Male,black,2015-11-09,Oveido,FL,No known charges,Vehicle,vehicle,
2474,36,Male,black,2018-08-20,Philadelphia,PA,No known charges,Vehicle,vehicle,car
2475,33,Male,black,2018-08-19,Atlanta,GA,No known charges,Allegedly Armed,gun,
2478,21,Male,black,2018-08-19,Bakersfield,CA,No known charges,Unarmed,toy weapon,not fleeing
5516,27,Male,black,2015-11-19,Fort Pierce,FL,No known charges,Allegedly Armed,knife,not fleeing
5549,20,Male,black,2015-11-09,Spartanburg,SC,No known charges,Vehicle,vehicle,car
5541,32,Male,black,2015-11-11,Baltimore,MD,No known charges,Allegedly Armed,gun,not fleeing
2486,30,Male,black,2018-08-16,Wasilla,AK,No known charges,Allegedly Armed,knife,not fleeing
2491,33,Male,black,2018-08-13,Oklahoma City,OK,No known charges,Allegedly Armed,gun,foot
2493,48,Male,black,2018-08-13,Milwaukee,WI,No known charges,Allegedly Armed,gun,not fleeing
2497,40,Male,black,2018-08-12,Amherst,VA,No known charges,Allegedly Armed,gun,car
5533,25,Male,black,2015-11-14,Washington,DC,No known charges,Allegedly Armed,knife,
2500,28,Male,black,2018-08-09,Columbus,OH,No known charges,Allegedly Armed,gun,foot
2483,21,Male,black,2018-08-17,Austin,TX,No known charges,Allegedly Armed,gun,
2596,68,Male,black,2018-07-14,Florence,SC,No known charges,Allegedly Armed,gun,not fleeing
2526,34,Male,black,2018-08-03,Pine Bluff,AR,No known charges,Allegedly Armed,gun,not fleeing
5514,29,Male,black,2015-11-20,Barstow,CA,No known charges,Unarmed,no object,not fleeing
5449,24,Male,black,2015-12-12,Chattanooga,TN,No known charges,Allegedly Armed,gun,not fleeing
5448,28,Male,black,2015-12-12,Lynwood,CA,No known charges,Allegedly Armed,gun,not fleeing
5440,33,Male,black,2015-12-14,New Orleans,LA,No known charges,Allegedly Armed,gun,not fleeing
5434,51,Male,black,2015-12-15,Dallas,NC,No known charges,Vehicle,vehicle,car
5426,24,Male,black,2015-12-19,Concord,VA,No known charges,Allegedly Armed,gun,
5422,35,Male,black,2015-12-20,Harrington,DE,No known charges,Allegedly Armed,gun,not fleeing
5421,30,Male,black,2015-12-20,Palmdale,CA,No known charges,Unarmed,no object,not fleeing
5420,32,Male,black,2015-12-21,St Martinville,LA,No known charges,Unarmed,no object,not fleeing
5416,25,Male,black,2015-12-21,Denver,CO,No known charges,Allegedly Armed,gun,not fleeing
5414,48,Male,black,2015-12-21,Douglasville,GA,No known charges,Allegedly Armed,gun,not fleeing
5408,35,Male,black,2015-12-23,Dearborn,MI,No known charges,Unarmed,no object,not fleeing
5407,24,Male,black,2015-12-24,Lansing,MI,No known charges,Allegedly Armed,gun,not fleeing
5406,18,Male,black,2015-12-24,Charlotte,NC,No known charges,Allegedly Armed,gun,not fleeing
2593,25,Male,black,2018-07-15,Kansas City,MO,No known charges,Allegedly Armed,gun,not fleeing
5400,19,Male,black,2015-12-26,Chicago,IL,No known charges,Allegedly Armed,baseball bat,not fleeing
5451,25,Male,black,2015-12-12,Indianapolis,IN,No known charges,Allegedly Armed,knife,not fleeing
5457,55,Male,black,2015-12-10,Taylors,SC,No known charges,Allegedly Armed,gun,not fleeing
5461,32,Male,black,2015-12-09,Tallahassee,FL,No known charges,Allegedly Armed,gun,
2563,20,Male,black,2018-07-24,Starke,FL,No known charges,Allegedly Armed,gun,car
2531,41,Male,black,2018-08-02,Shreveport,LA,No known charges,Unclear,undetermined,not fleeing
2535,27,Male,black,2018-08-01,Oxon Hill,MD,No known charges,Allegedly Armed,gun,foot
5504,24,Male,black,2015-11-24,Camden,NJ,No known charges,Allegedly Armed,gun,not fleeing
2538,41,Male,black,2018-08-01,Yale,VA,No known charges,Allegedly Armed,gun,car
2541,35,Male,black,2018-07-30,Luxora,AR,No known charges,Allegedly Armed,gun,foot
5487,18,Male,black,2015-11-30,Atlanta,GA,No known charges,Allegedly Armed,gun,foot
