,State,total_pop,black_pop,hispanic_pop,% Victims Black,Disparity,black_killings,hispanic_killings,total_killings,black_rate,hispanic_rate,white_rate,total_rate,Disparity in Rate,Black-White Disparity,Hispanic-White Disparity
0,AL,4864680.0,1285737.0,203146.0,0.38405797101449274,0.1197575442649429,53.0,,138.0,5.888784853689808,0.0,3.3069507188372405,4.052534948709003,1.4531114298140155,1.7807295464506856,0.0
1,AK,738516.0,22817.0,51186.0,0.1,0.06910425772765925,4.0,1.0,40.0,25.043983496014878,2.7909417195550126,5.704727127055049,7.73752459565631,3.236691940220011,4.390040564296601,0.4892331670552278
2,AZ,6946685.0,286614.0,2163312.0,0.09090909090909091,0.049649986746457944,31.0,115.0,341.0,15.451343718630035,7.594175703075391,5.302226539346517,7.012594599335614,2.203370450089033,2.9141236429581836,1.4322616445602396
3,AR,2990671.0,458536.0,219052.0,0.2980769230769231,0.1447548090764195,31.0,3.0,104.0,9.658067040693487,1.9564826094782455,3.942973302850645,4.967829245391037,1.9441221836788922,2.4494375941401914,0.49619473914869533
4,CA,39148760.0,2164519.0,15221577.0,0.15860899067005937,0.10331939784515254,187.0,487.0,1179.0,12.341904004670653,4.570579551082557,3.275952259051962,4.30227091301414,2.868695220316566,3.767424867248314,1.3951911351740063
5,CO,5531141.0,216732.0,1184794.0,0.09691629955947137,0.0577323409512927,22.0,70.0,227.0,14.501121859518406,8.44028582183907,3.8945103435926085,5.862908110382908,2.4733667297015396,3.723477556909352,2.16722644882054
6,CT,3581504.0,351817.0,561791.0,0.19444444444444445,0.09621280767955462,7.0,6.0,36.0,2.8423868090512965,1.5257326250204386,1.1222103622306046,1.435949015513355,1.9794482800875328,2.5328466967650494,1.3595780937076338
7,DE,949495.0,204665.0,86315.0,0.45,0.23444857529528856,9.0,,20.0,6.282042780711337,0.0,1.9187592535163065,3.0091183809739466,2.0876688735250286,3.2740130212786744,0.0
8,DC,684498.0,315281.0,74776.0,0.8846153846153846,0.4240136005342039,23.0,,26.0,10.421542324828602,0.0,0.5759045012119911,5.426291551305796,1.9205643903009113,18.095955671290056,0.0
9,FL,20598139.0,3167011.0,5184720.0,0.313543599257885,0.15979131124778856,169.0,76.0,539.0,7.623231224285973,2.0940654186036776,3.1131185168429734,3.7382017860933945,2.039277615415359,2.448744300302683,0.6726584314969409
10,GA,10297484.0,3195363.0,968463.0,0.37358490566037733,0.06327968935705508,99.0,13.0,265.0,4.426056489624854,1.9176188012787865,2.9476912364904773,3.6763487913302764,1.2039272497926667,1.501533279616667,0.6505494122111325
